"var","categoria","Jorge Macri por Juntos por el Cambio","Martín Lousteau  por Juntos por el Cambio","Ricardo López Murphy  por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Ramiro Marra por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Siempre",0.307,0.256,0.288,0.21,0.306,0.2,0.284,0.145
"P05","Casi siempre",0.433,0.399,0.408,0.468,0.249,0.48,0.15,0.304
"P05","Casi nunca",0.194,0.285,0.241,0.259,0.31,0.233,0.376,0.373
"P05","Nunca, pero esta es una excepción",0.066,0.06,0.063,0.063,0.135,0.087,0.19,0.178
"P06","Mucho",0.406,0.263,0.43,0.567,0.403,0.354,0.341,0.284
"P06","Bastante",0.388,0.442,0.391,0.307,0.294,0.382,0.214,0.176
"P06","Poco",0.164,0.224,0.125,0.094,0.168,0.118,0.204,0.288
"P06","Nada",0.028,0.065,0.046,0.024,0.126,0.053,0.152,0.191
"P06","No sabe",0.014,0.006,0.008,0.008,0.009,0.093,0.089,0.061
"P07","Del Frente de Todos y el peronismo",0.079,0.1,0.082,0.885,0.089,0.194,0.299,0.2
"P07","De Juntos por el Cambio",0.782,0.671,0.7,0.033,0.084,0.071,0.084,0.091
"P07","De los Liberales libertarios",0.091,0.133,0.144,0.027,0.736,0.058,0.141,0.062
"P07","De la Izquierda",0.005,0.019,0.037,0.026,0.024,0.584,0.103,0.039
"P07","No sabe",0.043,0.077,0.037,0.029,0.067,0.093,0.373,0.608
"P08","A Leandro Santoro",0.582,0.479,0.491,0.76,0.358,0.287,0.264,0.493
"P08","A Matias Lammens",0.13,0.279,0.192,0.058,0.143,0.28,0.343,0.077
"P08","A Mariano Recalde",0.288,0.242,0.317,0.182,0.499,0.433,0.393,0.43
"P09","A Jorge Macri",0.843,0.077,0.078,0.149,0.558,0.051,0.065,0.484
"P09","A Martín Lousteau",0.123,0.884,0.147,0.709,0.212,0.248,0.306,0.433
"P09","A Ricardo López Murphy",0.034,0.039,0.775,0.142,0.23,0.701,0.629,0.083
"P10","Jorge Macri por Juntos por el Cambio",0.812,0.097,0.071,0.012,0.053,0.009,0,0.043
"P10","Martín Lousteau  por Juntos por el Cambio",0.03,0.709,0.055,0.013,0.052,0.021,0.032,0.058
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.041,0.038,0.722,0.017,0.058,0.025,0.04,0.018
"P10","Leandro Santoro por el Frente de Todos",0.022,0.039,0.019,0.629,0.031,0.051,0.006,0.056
"P10","Mariano Recalde por el Frente de Todos",0.018,0.025,0.015,0.129,0.023,0.026,0.044,0.031
"P10","Pedro Rosemblat por el Frente de Todos",0.015,0.017,0.034,0.156,0.018,0.159,0.121,0.061
"P10","Ramiro Marra por la Libertad Avanza",0.043,0.045,0.041,0.015,0.715,0.039,0.08,0.025
"P10","Al candidato del Frente de Izquierda",0,0.003,0.011,0.009,0.013,0.609,0.042,0.008
"P10","En blanco",0.006,0.004,0.004,0.002,0.01,0.044,0.395,0.089
"P10","No sabe",0.013,0.023,0.028,0.018,0.027,0.017,0.24,0.611
"P13","Jorge Macri por Juntos por el Cambio",0.753,0.096,0.376,0.023,0.08,0.039,0.063,0.05
"P13","Martín Lousteau  por Juntos por el Cambio",0.054,0.723,0.207,0.026,0.059,0.03,0.064,0.054
"P13","Leandro Santoro por el Frente de Todos",0.058,0.042,0.068,0.841,0.06,0.08,0.015,0.048
"P13","Ramiro Marra por la Libertad Avanza",0.079,0.07,0.129,0.04,0.731,0.016,0.011,0.039
"P13","Al candidato del Frente de Izquierda",0.029,0.018,0.027,0.032,0.014,0.683,0.016,0.035
"P13","En blanco",0.003,0.031,0.063,0.013,0.005,0.132,0.485,0.053
"P13","No sabe",0.024,0.02,0.13,0.025,0.051,0.02,0.346,0.721
"P19","Jorge Macri por Juntos por el Cambio",0.891,0.457,0.556,0.023,0.104,0.049,0.09,0.064
"P19","Leandro Santoro por el Frente de Todos",0.035,0.135,0.077,0.919,0.064,0.098,0.086,0.102
"P19","Ramiro Marra por la Libertad Avanza",0.039,0.068,0.153,0.017,0.8,0.041,0.089,0.029
"P19","Al candidato del Frente de Izquierda",0.004,0.057,0.024,0.011,0.012,0.642,0.031,0.043
"P19","En blanco",0.011,0.095,0.074,0.01,0.007,0.097,0.482,0.062
"P19","No sabe",0.02,0.188,0.116,0.02,0.013,0.073,0.222,0.7
"P22","Martín Lousteau  por Juntos por el Cambio",0.387,0.751,0.346,0.066,0.065,0.03,0.184,0.072
"P22","Leandro Santoro por el Frente de Todos",0.092,0.1,0.08,0.849,0.094,0.123,0.151,0.116
"P22","Ramiro Marra por la Libertad Avanza",0.162,0.056,0.236,0.053,0.772,0.071,0.063,0.043
"P22","Al candidato del Frente de Izquierda",0.008,0.024,0.017,0.006,0.023,0.635,0.032,0.018
"P22","En blanco",0.116,0.027,0.161,0.01,0.015,0.09,0.426,0.111
"P22","No sabe",0.235,0.042,0.16,0.016,0.031,0.051,0.144,0.64
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.599,0.4,0.831,0.043,0.133,0.077,0.182,0.046
"P25","Leandro Santoro por el Frente de Todos",0.07,0.155,0.044,0.882,0.073,0.117,0.108,0.064
"P25","Ramiro Marra por la Libertad Avanza",0.103,0.079,0.047,0.027,0.714,0.021,0.05,0.057
"P25","Al candidato del Frente de Izquierda",0.009,0.048,0.014,0.009,0.023,0.644,0.03,0.025
"P25","En blanco",0.067,0.119,0.028,0.024,0.028,0.107,0.396,0.176
"P25","No sabe",0.152,0.199,0.036,0.015,0.029,0.034,0.234,0.632
"P26","Jorge Macri por Juntos por el Cambio",0.912,0.512,0.696,0.037,0.363,0.071,0.127,0.087
"P26","Leandro Santoro por el Frente de Todos",0.039,0.196,0.075,0.937,0.101,0.539,0.206,0.192
"P26","En blanco",0.02,0.144,0.115,0.011,0.333,0.292,0.403,0.102
"P26","No sabe",0.029,0.148,0.114,0.015,0.203,0.098,0.264,0.619
"P27","Martín Lousteau por Juntos por el Cambio",0.573,0.794,0.538,0.044,0.236,0.094,0.106,0.085
"P27","Leandro Santoro por el Frente de Todos",0.052,0.088,0.065,0.933,0.105,0.499,0.265,0.19
"P27","En blanco",0.205,0.052,0.256,0.01,0.472,0.334,0.481,0.113
"P27","No sabe",0.17,0.066,0.141,0.013,0.187,0.073,0.148,0.612
"P28","Ricardo López Murphy por Juntos por el Cambio",0.737,0.544,0.866,0.034,0.386,0.063,0.181,0.054
"P28","Leandro Santoro por el Frente de Todos",0.064,0.155,0.073,0.945,0.108,0.494,0.183,0.179
"P28","En blanco",0.087,0.135,0.042,0.006,0.329,0.39,0.442,0.104
"P28","No sabe",0.112,0.166,0.019,0.015,0.177,0.053,0.194,0.663
"P29","Lo votaría",0.858,0.279,0.36,0.027,0.155,0.068,0.032,0.029
"P29","Puede que lo vote",0.064,0.27,0.405,0.121,0.301,0.18,0.109,0.093
"P29","Nunca lo votaría",0.059,0.327,0.194,0.833,0.451,0.683,0.728,0.581
"P29","No sabe",0.019,0.124,0.041,0.019,0.093,0.069,0.131,0.297
"P30","Lo votaría",0.249,0.657,0.179,0.045,0.15,0.041,0.084,0.029
"P30","Puede que lo vote",0.294,0.214,0.348,0.173,0.149,0.188,0.293,0.113
"P30","Nunca lo votaría",0.351,0.094,0.434,0.722,0.606,0.704,0.493,0.444
"P30","No sabe",0.106,0.035,0.039,0.06,0.095,0.067,0.13,0.414
"P31","Lo votaría",0.405,0.273,0.769,0.024,0.26,0.104,0.086,0.061
"P31","Puede que lo vote",0.325,0.288,0.096,0.049,0.264,0.023,0.102,0.117
"P31","Nunca lo votaría",0.192,0.336,0.121,0.906,0.394,0.841,0.577,0.45
"P31","No sabe",0.078,0.103,0.014,0.021,0.082,0.032,0.235,0.372
"P32","Lo votaría",0.063,0.118,0.103,0.829,0.089,0.238,0.16,0.121
"P32","Puede que lo vote",0.052,0.152,0.04,0.078,0.104,0.369,0.201,0.218
"P32","Nunca lo votaría",0.827,0.665,0.814,0.086,0.73,0.278,0.461,0.279
"P32","No sabe",0.058,0.065,0.043,0.007,0.077,0.115,0.178,0.382
"P33","Lo votaría",0.027,0.055,0.037,0.569,0.046,0.205,0.207,0.118
"P33","Puede que lo vote",0.033,0.102,0.051,0.303,0.1,0.201,0.172,0.158
"P33","Nunca lo votaría",0.884,0.768,0.866,0.095,0.765,0.468,0.425,0.343
"P33","No sabe",0.056,0.075,0.046,0.033,0.089,0.126,0.196,0.381
"P34","Lo votaría",0.016,0.051,0.039,0.37,0.065,0.226,0.179,0.128
"P34","Puede que lo vote",0.029,0.086,0.025,0.221,0.054,0.231,0.065,0.088
"P34","Nunca lo votaría",0.796,0.657,0.766,0.302,0.719,0.44,0.502,0.326
"P34","No sabe",0.159,0.206,0.17,0.107,0.162,0.103,0.254,0.458
"P35","Lo votaría",0.055,0.048,0.091,0.044,0.647,0.072,0.033,0.037
"P35","Puede que lo vote",0.171,0.113,0.237,0.056,0.086,0.082,0.094,0.036
"P35","Nunca lo votaría",0.667,0.716,0.583,0.836,0.179,0.727,0.64,0.48
"P35","No sabe",0.107,0.123,0.089,0.064,0.088,0.119,0.233,0.447
"P36","Si",0.624,0.658,0.674,0.615,0.503,0.687,0.464,0.377
"P36","No",0.376,0.342,0.326,0.385,0.497,0.313,0.536,0.623
