"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.64,0.485,0.449,0.388
"P06","Bastante",0.258,0.349,0.388,0.357
"P06","Poco",0.084,0.144,0.11,0.159
"P06","Nada",0.013,0.02,0.048,0.072
"P06","No sabe",0.005,0.002,0.005,0.024
"P07","Siempre",0.285,0.27,0.3,0.239
"P07","Casi siempre",0.456,0.463,0.344,0.375
"P07","Casi nunca",0.208,0.226,0.225,0.212
"P07","Nunca, pero esta es una excepción",0.051,0.041,0.131,0.174
"P08","Tiene Decidido que va a ir a votar",0.855,0.871,0.802,0.778
"P08","Tiene dudas sobre si va a ir a  votar",0.099,0.079,0.15,0.149
"P08","Tiene Decidido que no va a ir a votar",0.046,0.05,0.048,0.073
"P10","Unión por la Patria",0.762,0.092,0.234,0.247
"P10","Juntos por el Cambio",0.148,0.689,0.197,0.25
"P10","Liberales",0.034,0.163,0.29,0.183
"P10","Izquierda",0.027,0.009,0.123,0.037
"P10","Otro",0.004,0.023,0.054,0.059
"P10","No sabe",0.025,0.024,0.102,0.224
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.613,0.011,0.127,0.051
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.211,0.013,0.105,0.081
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.036,0.597,0.084,0.107
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.057,0.186,0.15,0.227
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.012,0.163,0.298,0.252
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.047,0.002,0.103,0.017
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.005,0.009,0.104
"P11","Otros",0.008,0.003,0.05,0.007
"P11","En blanco",0,0.007,0.063,0.015
"P11","No sabe",0.011,0.013,0.011,0.139
"P14","Totalmente seguro",0.657,0.641,0.641,0.492
"P14","Bastante seguro",0.175,0.175,0.149,0.114
"P14","Algo seguro",0.092,0.121,0.105,0.164
"P14","Para nada seguro",0.076,0.063,0.105,0.23
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.711,0.025,0.238,0.1
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.058,0.541,0.172,0.183
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.107,0.185,0.195,0.207
"P15","Ramiro Marra por la Libertad Avanza",0.05,0.181,0.179,0.24
"P15","Vanina Biasi por el Frente de Izquierda",0.04,0.019,0.101,0.052
"P15","Otros",0.027,0.014,0.059,0.049
"P15","En blanco",0,0.008,0.039,0.019
"P15","No sabe",0.007,0.027,0.017,0.15
"P18","Totalmente seguro",0.708,0.66,0.642,0.501
"P18","Bastante seguro",0.157,0.173,0.218,0.107
"P18","Algo seguro",0.075,0.12,0.089,0.168
"P18","Para nada seguro",0.06,0.047,0.051,0.224
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.506,0.032,0.13,0.143
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.239,0.022,0.135,0.016
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.476,0.086,0.207
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.079,0.229,0.11,0.172
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.036,0.178,0.216,0.202
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.001,0.077,0.046
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.005,0.043,0.032
"P23","Otros",0.017,0.004,0.047,0.023
"P23","En blanco",0.01,0.029,0.109,0
"P23","No sabe",0.011,0.024,0.047,0.159
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.521,0.039,0.155,0.135
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.057,0.438,0.157,0.098
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.129,0.23,0.075,0.191
"P26","Ramiro Marra por la Libertad Avanza",0.04,0.152,0.217,0.186
"P26","Vanina Biasi por el Frente de Izquierda",0.123,0.022,0.068,0.042
"P26","Otros",0.051,0.022,0.093,0.048
"P26","En blanco",0.051,0.046,0.2,0.028
"P26","No sabe",0.028,0.051,0.035,0.272
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.801,0.008,0.135,0.089
