"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Mucho",0.628,0.495,0.46,0.541,0.447,0.537,0.381
"P06","Bastante",0.247,0.366,0.355,0.226,0.429,0.339,0.276
"P06","Poco",0.103,0.111,0.169,0.129,0.11,0.124,0.29
"P06","Nada",0.018,0.026,0.014,0.087,0.006,0,0.034
"P06","No sabe",0.004,0.002,0.002,0.017,0.008,0,0.019
"P07","Siempre",0.284,0.276,0.264,0.59,0.219,0.271,0.145
"P07","Casi siempre",0.416,0.444,0.326,0.267,0.53,0.554,0.468
"P07","Casi nunca",0.234,0.225,0.304,0.066,0.231,0.158,0.307
"P07","Nunca, pero esta es una excepción",0.066,0.055,0.106,0.077,0.02,0.017,0.08
"P08","Tiene Decidido que va a ir a votar",0.873,0.854,0.892,0.688,0.822,0.856,0.821
"P08","Tiene dudas sobre si va a ir a  votar",0.078,0.12,0.049,0.154,0.155,0.108,0.076
"P08","Tiene Decidido que no va a ir a votar",0.049,0.026,0.059,0.158,0.023,0.036,0.103
"P10","Unión por la Patria",0.802,0.151,0.079,0.132,0.212,0.196,0.066
"P10","Juntos por el Cambio",0.089,0.7,0.286,0.241,0.627,0.624,0.617
"P10","Liberales",0.042,0.058,0.594,0.05,0.017,0.026,0.053
"P10","Izquierda",0.026,0.041,0.003,0.433,0.047,0.023,0
"P10","Otro",0.006,0.026,0.017,0,0.053,0.035,0.039
"P10","No sabe",0.035,0.024,0.021,0.144,0.044,0.096,0.225
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.629,0.051,0.023,0.055,0.022,0.017,0.068
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.227,0.026,0.018,0.194,0.053,0.07,0
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.041,0.482,0.331,0.138,0.488,0.634,0.506
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.023,0.306,0.025,0.03,0.199,0.113,0.109
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.062,0.583,0.099,0.093,0.008,0.036
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.034,0.037,0.003,0.387,0.047,0.023,0
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.006,0,0.03,0.027,0.015,0
"P11","Otros",0.006,0.009,0.003,0.033,0.055,0,0.026
"P11","En blanco",0,0.006,0.005,0.034,0.01,0.112,0.041
"P11","No sabe",0.006,0.015,0.009,0,0.006,0.008,0.214
"P14","Totalmente seguro",0.732,0.522,0.796,0.689,0.538,0.74,0.534
"P14","Bastante seguro",0.149,0.255,0.096,0.154,0.151,0.083,0.073
