"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Mucho",0.64,0.486,0.41,0.505,0.484,0.488,0.426,0.183
"P06","Bastante",0.252,0.402,0.377,0.246,0.132,0.294,0.177,0.346
"P06","Poco",0.085,0.091,0.17,0.173,0.22,0.17,0.334,0.283
"P06","Nada",0.023,0.016,0.038,0.054,0.048,0.041,0.063,0.151
"P06","No sabe",0,0.005,0.005,0.022,0.116,0.007,0,0.037
"P07","Siempre",0.273,0.27,0.236,0.244,0.392,0.233,0.182,0.144
"P07","Casi siempre",0.417,0.461,0.425,0.281,0.17,0.329,0.243,0.273
"P07","Casi nunca",0.243,0.208,0.293,0.358,0.16,0.323,0.252,0.428
"P07","Nunca, pero esta es una excepción",0.067,0.061,0.046,0.117,0.278,0.115,0.323,0.155
"P08","Tiene Decidido que va a ir a votar",0.894,0.878,0.864,0.804,0.782,0.768,0.631,0.571
"P08","Tiene dudas sobre si va a ir a  votar",0.074,0.086,0.105,0.087,0.096,0.227,0.178,0.233
"P08","Tiene Decidido que no va a ir a votar",0.032,0.036,0.031,0.109,0.122,0.005,0.191,0.196
"P10","Unión por la Patria",0.792,0.121,0.16,0.184,0.331,0.276,0.086,0.097
"P10","Juntos por el Cambio",0.111,0.771,0.639,0.143,0.014,0.141,0.209,0.412
"P10","Liberales",0.031,0.048,0.081,0.557,0.113,0.084,0.215,0
"P10","Izquierda",0.02,0.011,0.029,0.016,0.45,0.071,0.092,0
"P10","Otro",0.011,0.024,0.024,0.023,0.063,0.23,0.102,0.014
"P10","No sabe",0.035,0.025,0.067,0.077,0.029,0.198,0.296,0.477
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.645,0.026,0.097,0.12,0,0.197,0,0.097
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.205,0.009,0.066,0.008,0.253,0.166,0.046,0
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.676,0.263,0.16,0.072,0.07,0.233,0.277
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.02,0.193,0.394,0.059,0,0.027,0.072,0.056
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.059,0.069,0.616,0.151,0.103,0.245,0.011
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.01,0.055,0.002,0.288,0.087,0.092,0
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.003,0.01,0.005,0,0.021,0.021,0.015
"P11","Otros",0.013,0.005,0.005,0.006,0.106,0.179,0,0
"P11","En blanco",0.006,0.005,0.014,0.009,0.014,0.074,0.271,0.037
"P11","No sabe",0.008,0.014,0.027,0.015,0.116,0.076,0.02,0.507
"P14","Totalmente seguro",0.702,0.692,0.481,0.738,0.772,0.524,0.499,0.216
"P14","Bastante seguro",0.176,0.154,0.227,0.098,0.185,0.107,0.062,0.087
"P14","Algo seguro",0.066,0.082,0.163,0.125,0.037,0.223,0.122,0.193
"P14","Para nada seguro",0.056,0.072,0.129,0.039,0.006,0.146,0.317,0.504
"P18","Totalmente seguro",0.737,0.728,0.528,0.76,0.65,0.436,0.329,0.068
"P18","Bastante seguro",0.168,0.151,0.25,0.051,0.188,0.112,0.134,0.054
"P18","Algo seguro",0.039,0.096,0.17,0.155,0.105,0.249,0,0.145
"P18","Para nada seguro",0.056,0.025,0.052,0.034,0.057,0.203,0.537,0.733
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.514,0.048,0.135,0.095,0.215,0.248,0.121,0.093
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.242,0.018,0.047,0.03,0.292,0.112,0,0.028
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.445,0.289,0.343,0.021,0.083,0.313,0.128
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.044,0.265,0.331,0.025,0.077,0.055,0.027,0.096
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.043,0.161,0.093,0.368,0.131,0.118,0.217,0.051
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.004,0.022,0.012,0.12,0.032,0.059,0
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.004,0.017,0,0.057,0.031,0.05,0
"P23","Otros",0.023,0.005,0.015,0.008,0.072,0.187,0,0.055
"P23","En blanco",0.015,0.028,0.022,0.099,0,0.11,0.186,0.043
"P23","No sabe",0.009,0.022,0.029,0.02,0.015,0.024,0.027,0.506
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.492,0.051,0.237,0.111,0.357,0.288,0,0.111
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.032,0.44,0.332,0.283,0.221,0.126,0.182,0.092
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.117,0.241,0.249,0.066,0.171,0.053,0.062,0.129
"P26","Ramiro Marra por la Libertad Avanza",0.064,0.14,0.066,0.309,0.016,0.091,0.181,0.037
"P26","Vanina Biasi por el Frente de Izquierda",0.132,0.017,0.018,0.022,0.048,0.039,0.058,0.031
"P26","Otros",0.057,0.024,0.035,0.038,0.165,0.178,0,0.054
"P26","En blanco",0.066,0.042,0.037,0.095,0.006,0.178,0.517,0
"P26","No sabe",0.04,0.045,0.026,0.076,0.016,0.047,0,0.546
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.807,0.039,0.156,0.112,0.141,0.36,0,0.166
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.798,0.43,0.177,0.08,0.175,0.413,0.323
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.027,0.074,0.11,0.597,0.228,0.055,0.152,0.092
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.034,0,0.05,0.019,0.252,0.141,0.205,0
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.006,0.042,0.026,0.092,0,0,0.023
"P30","Otros",0.016,0.019,0.069,0.016,0.107,0.148,0,0
"P30","En blanco",0.028,0.037,0.074,0.036,0.091,0.103,0.23,0.038
"P30","No sabe",0.009,0.027,0.069,0.017,0.009,0.018,0,0.358
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.796,0.04,0.156,0.116,0.258,0.385,0,0.119
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.061,0.639,0.562,0.143,0.132,0.121,0.237,0.144
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.023,0.188,0.116,0.63,0.097,0.17,0.329,0.066
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.006,0.038,0.015,0.291,0.167,0.096,0
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.003,0.03,0.036,0.067,0,0,0.023
"P31","Otros",0.024,0.023,0.049,0.01,0.135,0.086,0,0.076
"P31","En blanco",0.014,0.046,0.009,0.004,0,0.031,0.338,0.038
"P31","No sabe",0.032,0.055,0.04,0.046,0.02,0.04,0,0.534
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.859,0.023,0.185,0.119,0.175,0.331,0,0.12
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.054,0.9,0.496,0.15,0.15,0.117,0.134,0.123
"P32","Ramiro Marra por la Libertad Avanza",0.014,0.045,0.049,0.625,0.208,0.085,0.093,0.078
"P32","Vanina Biasi por el Frente de Izquierda",0.025,0.005,0.031,0.035,0.243,0.105,0,0
"P32","Otros",0.015,0.013,0.096,0.004,0.022,0.284,0.093,0
"P32","En blanco",0.026,0,0.052,0.025,0.101,0.056,0.531,0.091
"P32","No sabe",0.007,0.014,0.091,0.042,0.101,0.022,0.149,0.588
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.888,0.052,0.073,0.136,0.322,0.218,0,0.094
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.051,0.517,0.823,0.151,0.277,0.231,0.169,0.156
"P33","Ramiro Marra por la Libertad Avanza",0.016,0.168,0.017,0.633,0.127,0.072,0,0.083
"P33","Vanina Biasi por el Frente de Izquierda",0.011,0.014,0.008,0.023,0.267,0.089,0,0
"P33","Otros",0.019,0.079,0.01,0.046,0.007,0.271,0.049,0
"P33","En blanco",0.011,0.089,0.02,0,0,0.053,0.637,0.092
"P33","No sabe",0.004,0.081,0.049,0.011,0,0.066,0.145,0.575
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.872,0.067,0.248,0.135,0.413,0.412,0,0.101
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.043,0.858,0.583,0.667,0.267,0.278,0.473,0.554
"P36","En blanco",0.07,0.048,0.109,0.117,0.253,0.217,0.417,0.063
"P36","No sabe",0.015,0.027,0.06,0.081,0.067,0.093,0.11,0.282
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.109,0.795,0.572,0.258,0.352,0.397,0.438,0.576
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.104,0.079,0.638,0.157,0.065,0,0
"P37","En blanco",0.649,0.067,0.256,0.057,0.431,0.397,0.446,0.074
"P37","No sabe",0.18,0.034,0.093,0.047,0.06,0.141,0.116,0.35
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.865,0.095,0.151,0.211,0.431,0.427,0,0.164
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.066,0.682,0.698,0.369,0.179,0.234,0.159,0.292
"P38","En blanco",0.055,0.153,0.091,0.299,0.271,0.22,0.74,0.166
"P38","No sabe",0.014,0.07,0.06,0.121,0.119,0.119,0.101,0.378
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.172,0.616,0.673,0.132,0.178,0.264,0.281,0.289
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.212,0.127,0.733,0.308,0.158,0.158,0.132
"P39","En blanco",0.564,0.084,0.124,0.038,0.452,0.409,0.509,0.074
"P39","No sabe",0.198,0.088,0.076,0.097,0.062,0.169,0.052,0.505
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.867,0.044,0.232,0.176,0.556,0.487,0,0.164
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.037,0.443,0.241,0.705,0.243,0.13,0.166,0.266
"P40","En blanco",0.085,0.288,0.307,0.036,0.178,0.19,0.659,0.154
"P40","No sabe",0.011,0.225,0.22,0.083,0.023,0.193,0.175,0.416
"P41","Leandro Santoro por Unión por la Patria",0.902,0.095,0.254,0.164,0.439,0.389,0,0.118
"P41","Jorge Macri por Juntos por el Cambio",0.016,0.871,0.539,0.562,0.199,0.286,0.324,0.483
"P41","En blanco",0.078,0.008,0.134,0.225,0.312,0.308,0.619,0.097
"P41","No sabe",0.004,0.026,0.073,0.049,0.05,0.017,0.057,0.302
"P42","Leandro Santoro por Unión por la Patria",0.949,0.071,0.162,0.197,0.372,0.361,0.057,0.152
"P42","Martin Lousteau por Juntos por el Cambio",0.022,0.574,0.753,0.335,0.249,0.277,0.057,0.349
"P42","En blanco",0.029,0.24,0.032,0.37,0.358,0.272,0.63,0.089
"P42","No sabe",0,0.115,0.053,0.098,0.021,0.09,0.256,0.41
"P43","Lo votaría",0.892,0.035,0.121,0.154,0.28,0.207,0.06,0.132
"P43","Puede que lo vote",0.038,0.086,0.157,0.093,0.417,0.245,0,0.059
"P43","Nunca lo votaría",0.063,0.859,0.666,0.738,0.256,0.463,0.88,0.555
"P43","No sabe",0.007,0.02,0.056,0.015,0.047,0.085,0.06,0.254
"P44","Lo votaría",0.648,0.029,0.064,0.142,0.483,0.408,0,0.132
"P44","Puede que lo vote",0.247,0.038,0.139,0.036,0.283,0.069,0,0.015
"P44","Nunca lo votaría",0.082,0.912,0.718,0.803,0.234,0.477,0.94,0.659
"P44","No sabe",0.023,0.021,0.079,0.019,0,0.046,0.06,0.194
"P45","Lo votaría",0.097,0.788,0.403,0.294,0.341,0.363,0.411,0.258
"P45","Puede que lo vote",0.017,0.068,0.239,0.319,0.153,0.057,0,0.291
"P45","Nunca lo votaría",0.88,0.124,0.289,0.336,0.443,0.58,0.529,0.233
"P45","No sabe",0.006,0.02,0.069,0.051,0.063,0,0.06,0.218
"P46","Lo votaría",0.045,0.528,0.551,0.151,0.287,0.175,0,0.067
"P46","Puede que lo vote",0.057,0.26,0.227,0.221,0.23,0.114,0.398,0.295
"P46","Nunca lo votaría",0.878,0.178,0.2,0.602,0.436,0.711,0.533,0.42
"P46","No sabe",0.02,0.034,0.022,0.026,0.047,0,0.069,0.218
"P47","Lo votaría",0.031,0.171,0.122,0.629,0.367,0.106,0.219,0.057
"P47","Puede que lo vote",0.044,0.332,0.21,0.103,0.134,0.13,0.068,0.255
"P47","Nunca lo votaría",0.922,0.475,0.588,0.261,0.499,0.745,0.644,0.532
"P47","No sabe",0.003,0.022,0.08,0.007,0,0.019,0.069,0.156
"P48","Lo votaría",0.127,0.034,0.083,0.11,0.305,0.156,0,0
"P48","Puede que lo vote",0.345,0.065,0.133,0.066,0.308,0.284,0,0.085
"P48","Nunca lo votaría",0.487,0.886,0.741,0.799,0.332,0.444,0.931,0.701
"P48","No sabe",0.041,0.015,0.043,0.025,0.055,0.116,0.069,0.214
"P49","Lo votaría",0.038,0.03,0.05,0.052,0.272,0,0.069,0.023
"P49","Puede que lo vote",0.223,0.117,0.346,0.156,0.249,0.159,0.135,0.077
"P49","Nunca lo votaría",0.708,0.796,0.529,0.754,0.423,0.841,0.727,0.741
"P49","No sabe",0.031,0.057,0.075,0.038,0.056,0,0.069,0.159
"P57","Lo votaría",0.829,0.031,0.063,0.099,0.201,0.191,0.069,0.038
"P57","Puede que lo vote",0.048,0.074,0.188,0.096,0.358,0.262,0,0.037
"P57","Nunca lo votaría",0.117,0.844,0.666,0.795,0.441,0.547,0.862,0.687
"P57","No sabe",0.006,0.051,0.083,0.01,0,0,0.069,0.238
"P58","Lo votaría",0.105,0.788,0.259,0.251,0.226,0.1,0,0.089
