"var","categoria","Leandro Santoro por Unión por la Patria","Martin Lousteau por Juntos por el Cambio","En blanco","No sabe"
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.829,0.035,0.029,0.012
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.054,0.714,0.449,0.543
"P32","Ramiro Marra por la Libertad Avanza",0.03,0.13,0.383,0.126
"P32","Vanina Biasi por el Frente de Izquierda",0.045,0.004,0.033,0.008
"P32","Otros",0.018,0.039,0.031,0.039
"P32","En blanco",0.02,0.028,0.055,0.015
"P32","No sabe",0.004,0.05,0.02,0.257
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.806,0.027,0.047,0.011
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.101,0.764,0.097,0.198
"P33","Ramiro Marra por la Libertad Avanza",0.038,0.122,0.473,0.222
"P33","Vanina Biasi por el Frente de Izquierda",0.027,0.002,0.051,0.008
"P33","Otros",0.011,0.03,0.089,0.154
"P33","En blanco",0.01,0.019,0.202,0.02
"P33","No sabe",0.007,0.036,0.041,0.387
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.861,0.083,0.042,0.05
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.067,0.814,0.682,0.706
"P36","En blanco",0.06,0.059,0.24,0.006
"P36","No sabe",0.012,0.044,0.036,0.238
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.149,0.687,0.448,0.669
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.176,0.356,0.156
"P37","En blanco",0.62,0.078,0.183,0.024
"P37","No sabe",0.161,0.059,0.013,0.151
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.867,0.085,0.048,0.08
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.071,0.808,0.341,0.342
"P38","En blanco",0.052,0.071,0.564,0.046
"P38","No sabe",0.01,0.036,0.047,0.532
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.199,0.675,0.23,0.294
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.097,0.23,0.521,0.213
"P39","En blanco",0.506,0.062,0.232,0.013
"P39","No sabe",0.198,0.033,0.017,0.48
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.861,0.102,0.054,0.072
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.422,0.558,0.281
"P40","En blanco",0.075,0.258,0.321,0.094
"P40","No sabe",0.008,0.218,0.067,0.553
"P41","Leandro Santoro por Unión por la Patria",0.879,0.113,0.025,0.056
"P41","Jorge Macri por Juntos por el Cambio",0.064,0.793,0.611,0.635
"P41","En blanco",0.056,0.061,0.358,0.006
"P41","No sabe",0.001,0.033,0.006,0.303
"P43","Lo votaría",0.827,0.036,0.006,0.056
"P43","Puede que lo vote",0.084,0.132,0.081,0.031
"P43","Nunca lo votaría",0.078,0.801,0.911,0.725
"P43","No sabe",0.011,0.031,0.002,0.188
"P44","Lo votaría",0.62,0.04,0.038,0.033
"P44","Puede que lo vote",0.223,0.06,0.089,0.014
"P44","Nunca lo votaría",0.131,0.868,0.861,0.803
"P44","No sabe",0.026,0.032,0.012,0.15
"P45","Lo votaría",0.135,0.623,0.482,0.611
"P45","Puede que lo vote",0.043,0.175,0.208,0.065
"P45","Nunca lo votaría",0.806,0.163,0.286,0.191
"P45","No sabe",0.016,0.039,0.024,0.133
