"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.503,0.467,0.655,0.484
"P06","Bastante",0.345,0.328,0.269,0.322
"P06","Poco",0.122,0.184,0.053,0.156
"P06","Nada",0.025,0.021,0.016,0.027
"P06","No sabe",0.005,0,0.007,0.011
"P07","Siempre",0.293,0.263,0.297,0.187
"P07","Casi siempre",0.465,0.34,0.468,0.514
"P07","Casi nunca",0.213,0.301,0.178,0.213
"P07","Nunca, pero esta es una excepción",0.029,0.096,0.057,0.086
"P08","Tiene Decidido que va a ir a votar",0.875,0.845,0.846,0.813
"P08","Tiene dudas sobre si va a ir a  votar",0.085,0.088,0.107,0.131
"P08","Tiene Decidido que no va a ir a votar",0.04,0.067,0.047,0.056
"P10","Unión por la Patria",0.202,0.151,0.663,0.486
"P10","Juntos por el Cambio",0.71,0.287,0.179,0.301
"P10","Liberales",0.031,0.489,0.02,0.025
"P10","Izquierda",0.008,0.015,0.069,0.028
"P10","Otro",0.015,0.021,0.034,0.045
"P10","No sabe",0.034,0.037,0.035,0.115
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.109,0.066,0.496,0.413
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.052,0.043,0.208,0.103
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.488,0.32,0.1,0.267
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.302,0.039,0.027,0.039
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.012,0.501,0.024,0.01
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.005,0.071,0.043
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.003,0.016,0.029
"P11","Otros",0.004,0.006,0.025,0.03
"P11","En blanco",0.004,0.007,0.02,0.015
"P11","No sabe",0.015,0.01,0.013,0.051
"P14","Totalmente seguro",0.59,0.703,0.689,0.575
"P14","Bastante seguro",0.188,0.131,0.17,0.172
"P14","Algo seguro",0.126,0.126,0.061,0.143
"P14","Para nada seguro",0.096,0.04,0.08,0.11
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.128,0.082,0.66,0.438
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.492,0.281,0.106,0.21
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.271,0.085,0.079,0.091
"P15","Ramiro Marra por la Libertad Avanza",0.05,0.468,0.023,0.112
"P15","Vanina Biasi por el Frente de Izquierda",0.016,0.047,0.065,0.017
"P15","Otros",0.018,0.017,0.043,0.033
"P15","En blanco",0.006,0.006,0.017,0.003
"P15","No sabe",0.019,0.014,0.007,0.096
"P18","Totalmente seguro",0.606,0.751,0.71,0.658
"P18","Bastante seguro",0.207,0.104,0.185,0.124
"P18","Algo seguro",0.115,0.11,0.061,0.114
"P18","Para nada seguro",0.072,0.035,0.044,0.104
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.115,0.087,0.418,0.341
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.05,0.026,0.259,0.119
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.38,0.321,0.115,0.218
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.331,0.058,0.026,0.097
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.067,0.392,0.031,0.067
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.018,0.057,0.004
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0,0.014,0.014
"P23","Otros",0.006,0.008,0.023,0.053
"P23","En blanco",0.007,0.069,0.046,0.005
"P23","No sabe",0.027,0.021,0.011,0.082
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.169,0.055,0.387,0.452
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.378,0.264,0.074,0.229
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.272,0.117,0.081,0.131
"P26","Ramiro Marra por la Libertad Avanza",0.058,0.331,0.076,0.034
"P26","Vanina Biasi por el Frente de Izquierda",0.033,0.058,0.134,0.027
"P26","Otros",0.02,0.015,0.088,0.037
"P26","En blanco",0.024,0.096,0.124,0.01
"P26","No sabe",0.046,0.064,0.036,0.08
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.16,0.067,0.654,0.505
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.649,0.334,0.113,0.279
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.535,0.038,0.021
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.021,0.092,0.033
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.019,0.02,0.024
"P30","Otros",0.037,0.002,0.022,0.04
"P30","En blanco",0.052,0.008,0.052,0
"P30","No sabe",0.045,0.014,0.009,0.098
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.159,0.067,0.649,0.48
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.742,0.161,0.046,0.115
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.03,0.699,0.025,0.041
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.011,0.109,0.036
