"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.208,0.218,0.199,0.208,0.241,0.201,0.162,0.249,0.189,0.207,0.448,0.085,0.199
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.101,0.104,0.098,0.108,0.105,0.107,0.082,0.065,0.071,0.13,0.21,0.035,0.159
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.256,0.248,0.263,0.205,0.221,0.276,0.333,0.281,0.267,0.241,0.054,0.409,0.145
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.16,0.13,0.185,0.16,0.107,0.177,0.227,0.169,0.14,0.169,0.068,0.231,0.139
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.142,0.168,0.12,0.203,0.163,0.102,0.1,0.129,0.186,0.119,0.103,0.155,0.174
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.02,0.027,0.012,0.038,0.018,0.016,0.019,0.023,0.026,0.03,0.011,0.031
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.012,0.014,0.024,0.007,0.019,0.008,0.008,0.016,0.013,0.001,0.011,0.018
"Otros",0.026,0.028,0.025,0.034,0.029,0.033,0.008,0.028,0.021,0.029,0.042,0.008,0.033
"En blanco",0.038,0.041,0.035,0.046,0.045,0.027,0.031,0.029,0.048,0.034,0.026,0.03,0.026
"No sabe",0.032,0.031,0.034,0,0.044,0.04,0.033,0.023,0.039,0.032,0.018,0.025,0.076
