"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.114,0.648,0.09,0.236,0.263,0.091
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.039,0.12,0.832,0.01,0.182,0.147
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.005,0.004,0.501,0.013,0.073
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.015,0.008,0,0.189,0.071
"P31","Otros",0.014,0.035,0,0.144,0.203,0.058
"P31","En blanco",0.013,0.032,0,0.024,0.089,0.078
"P31","No sabe",0.033,0.062,0.029,0,0.011,0.235
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.725,0.092,0.079,0.126,0.085,0.306
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.15,0.767,0.129,0.122,0.439,0.102
"P32","Ramiro Marra por la Libertad Avanza",0.038,0.035,0.713,0.019,0.057,0.064
"P32","Vanina Biasi por el Frente de Izquierda",0.013,0.016,0.005,0.436,0,0.083
"P32","Otros",0.017,0.038,0.022,0.084,0.182,0.045
"P32","En blanco",0.03,0.014,0.017,0.138,0.19,0.094
"P32","No sabe",0.027,0.038,0.035,0.075,0.047,0.306
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.746,0.071,0.104,0.231,0.094,0.257
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.148,0.591,0.149,0.382,0.466,0.188
"P33","Ramiro Marra por la Libertad Avanza",0.036,0.11,0.703,0.011,0.135,0.076
"P33","Vanina Biasi por el Frente de Izquierda",0.009,0.015,0.009,0.292,0,0.081
"P33","Otros",0.027,0.07,0.006,0.057,0.125,0.045
"P33","En blanco",0.024,0.065,0.008,0.027,0.077,0.092
"P33","No sabe",0.01,0.078,0.021,0,0.103,0.261
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.78,0.127,0.096,0.362,0.071,0.22
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.128,0.803,0.63,0.164,0.551,0.295
"P36","En blanco",0.06,0.042,0.208,0.411,0.243,0.229
"P36","No sabe",0.032,0.028,0.066,0.063,0.135,0.256
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.201,0.767,0.175,0.056,0.494,0.227
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.099,0.058,0.724,0.026,0.18,0.154
"P37","En blanco",0.546,0.117,0.08,0.806,0.261,0.34
"P37","No sabe",0.154,0.058,0.021,0.112,0.065,0.279
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.79,0.095,0.111,0.308,0.107,0.231
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.133,0.688,0.402,0.172,0.427,0.232
"P38","En blanco",0.059,0.139,0.402,0.262,0.332,0.209
"P38","No sabe",0.018,0.078,0.085,0.258,0.134,0.328
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.227,0.646,0.092,0.119,0.229,0.286
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.101,0.154,0.846,0.126,0.193,0.184
"P39","En blanco",0.486,0.107,0.038,0.624,0.343,0.198
"P39","No sabe",0.186,0.093,0.024,0.131,0.235,0.332
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.773,0.112,0.11,0.545,0.07,0.227
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.098,0.346,0.825,0.102,0.343,0.276
"P40","En blanco",0.09,0.304,0.032,0.282,0.398,0.198
"P40","No sabe",0.039,0.238,0.033,0.071,0.189,0.299
"P41","Leandro Santoro por Unión por la Patria",0.794,0.134,0.118,0.414,0.133,0.33
"P41","Jorge Macri por Juntos por el Cambio",0.128,0.775,0.579,0.169,0.407,0.284
"P41","En blanco",0.056,0.056,0.267,0.383,0.397,0.179
"P41","No sabe",0.022,0.035,0.036,0.034,0.063,0.207
"P42","Leandro Santoro por Unión por la Patria",0.798,0.108,0.094,0.557,0.135,0.318
"P42","Martin Lousteau por Juntos por el Cambio",0.129,0.612,0.407,0.187,0.331,0.301
"P42","En blanco",0.043,0.177,0.459,0.237,0.379,0.12
"P42","No sabe",0.03,0.103,0.04,0.019,0.155,0.261
"P43","Lo votaría",0.78,0.08,0.056,0.203,0.056,0.082
"P43","Puede que lo vote",0.06,0.09,0.148,0.272,0.056,0.26
