"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.054,0.446,0.292,0.15,0.103,0.207,0.274,0.299
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.113,0.281,0.104,0.091,0.222,0.109,0.01,0.102
"P26","Ramiro Marra por la Libertad Avanza",0.043,0.093,0.368,0.044,0.15,0.05,0.121,0.08
"P26","Vanina Biasi por el Frente de Izquierda",0.109,0.022,0.015,0.283,0.018,0.049,0,0.021
"P26","Otros",0.052,0.014,0.02,0.069,0.034,0.426,0.05,0.027
"P26","En blanco",0.051,0.024,0.105,0.098,0.062,0.024,0.446,0.027
"P26","No sabe",0.033,0.04,0.036,0.03,0.264,0.036,0.062,0.229
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.909,0.031,0.013,0.159,0.042,0.046,0,0.111
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.019,0.779,0.282,0.043,0.098,0.372,0.636,0.479
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.03,0.035,0.682,0.076,0.167,0.025,0,0
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.009,0.019,0.676,0.014,0.02,0.047,0.006
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.019,0,0.029,0.469,0.056,0,0
"P30","Otros",0.006,0.03,0,0.008,0.119,0.46,0,0
"P30","En blanco",0.018,0.046,0.004,0.009,0.091,0.021,0.284,0.126
"P30","No sabe",0.006,0.051,0,0,0,0,0.033,0.278
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.894,0.044,0.033,0.293,0.124,0.078,0.07,0.17
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.038,0.826,0.312,0.026,0.338,0.307,0.611,0.429
"P32","Ramiro Marra por la Libertad Avanza",0.002,0.029,0.569,0.088,0.289,0.033,0.013,0
"P32","Vanina Biasi por el Frente de Izquierda",0.014,0.028,0.002,0.388,0.032,0.043,0,0
"P32","Otros",0.015,0.031,0.027,0.093,0.12,0.192,0,0.038
"P32","En blanco",0.012,0.011,0.019,0.044,0.069,0.347,0.236,0.037
"P32","No sabe",0.025,0.031,0.038,0.068,0.028,0,0.07,0.326
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.884,0.031,0.051,0.395,0.103,0.273,0.073,0.17
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.081,0.747,0.177,0.188,0.306,0.26,0.173,0.165
"P33","Ramiro Marra por la Libertad Avanza",0.008,0.063,0.671,0.011,0.236,0.067,0.037,0.02
"P33","Vanina Biasi por el Frente de Izquierda",0.008,0.012,0.008,0.306,0.055,0.098,0,0.016
"P33","Otros",0.006,0.06,0.015,0.076,0.229,0.302,0.043,0.078
"P33","En blanco",0.004,0.049,0.035,0.024,0.025,0,0.6,0.055
"P33","No sabe",0.009,0.038,0.043,0,0.046,0,0.074,0.496
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.924,0.083,0.062,0.411,0.125,0.137,0.152,0.265
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.025,0.833,0.709,0.112,0.499,0.545,0.6,0.495
"P36","En blanco",0.042,0.042,0.166,0.406,0.062,0.294,0.217,0.083
"P36","No sabe",0.009,0.042,0.063,0.071,0.314,0.024,0.031,0.157
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.116,0.767,0.323,0.124,0.537,0.612,0.633,0.592
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.098,0.598,0.044,0.066,0,0,0.007
"P37","En blanco",0.639,0.078,0.069,0.718,0.25,0.321,0.322,0.186
"P37","No sabe",0.179,0.057,0.01,0.114,0.147,0.067,0.045,0.215
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.903,0.064,0.076,0.456,0.224,0.162,0.087,0.229
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.047,0.858,0.373,0.024,0.377,0.245,0.074,0.265
"P38","En blanco",0.046,0.048,0.421,0.38,0.102,0.38,0.711,0.088
"P38","No sabe",0.004,0.03,0.13,0.14,0.297,0.213,0.128,0.418
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.203,0.819,0.063,0.135,0.088,0.309,0.158,0.139
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.051,0.105,0.873,0.063,0.281,0.044,0.133,0.089
"P39","En blanco",0.539,0.033,0.035,0.684,0.259,0.412,0.658,0.209
"P39","No sabe",0.207,0.043,0.029,0.118,0.372,0.235,0.051,0.563
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.906,0.087,0.045,0.516,0.055,0.197,0.106,0.259
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.025,0.35,0.873,0.089,0.482,0.108,0.105,0.112
"P40","En blanco",0.063,0.308,0.041,0.322,0.174,0.514,0.705,0.152
"P40","No sabe",0.006,0.255,0.041,0.073,0.289,0.181,0.084,0.477
"P41","Leandro Santoro por Unión por la Patria",0.898,0.113,0.088,0.629,0.253,0.149,0.109,0.26
"P41","Jorge Macri por Juntos por el Cambio",0.034,0.81,0.657,0.018,0.583,0.558,0.573,0.478
"P41","En blanco",0.062,0.037,0.208,0.34,0.061,0.282,0.286,0.072
"P41","No sabe",0.006,0.04,0.047,0.013,0.103,0.011,0.032,0.19
"P42","Leandro Santoro por Unión por la Patria",0.929,0.063,0.094,0.531,0.391,0.256,0.095,0.242
"P42","Martin Lousteau por Juntos por el Cambio",0.046,0.746,0.375,0.207,0.533,0.324,0.145,0.239
"P42","En blanco",0.016,0.115,0.438,0.247,0.038,0.326,0.693,0.12
"P42","No sabe",0.009,0.076,0.093,0.015,0.038,0.094,0.067,0.399
"P43","Lo votaría",0.907,0.035,0.027,0.265,0.124,0.079,0.016,0.249
"P43","Puede que lo vote",0.055,0.097,0.111,0.308,0.153,0.158,0.124,0.124
"P43","Nunca lo votaría",0.032,0.838,0.818,0.321,0.534,0.763,0.794,0.551
"P43","No sabe",0.006,0.03,0.044,0.106,0.189,0,0.066,0.076
"P44","Lo votaría",0.617,0.028,0.061,0.497,0.063,0.309,0.21,0.196
"P44","Puede que lo vote",0.229,0.039,0.059,0.344,0.125,0.012,0,0.084
"P44","Nunca lo votaría",0.114,0.913,0.843,0.127,0.645,0.667,0.773,0.596
"P44","No sabe",0.04,0.02,0.037,0.032,0.167,0.012,0.017,0.124
"P45","Lo votaría",0.105,0.694,0.433,0.082,0.136,0.534,0.576,0.388
"P45","Puede que lo vote",0.042,0.126,0.213,0.128,0.418,0.016,0.014,0.117
"P45","Nunca lo votaría",0.845,0.154,0.304,0.775,0.31,0.385,0.344,0.363
"P45","No sabe",0.008,0.026,0.05,0.015,0.136,0.065,0.066,0.132
"P46","Lo votaría",0.042,0.731,0.102,0.019,0.057,0.248,0.099,0.127
"P46","Puede que lo vote",0.108,0.207,0.253,0.139,0.44,0.071,0.27,0.196
"P46","Nunca lo votaría",0.828,0.053,0.605,0.842,0.337,0.617,0.547,0.513
"P46","No sabe",0.022,0.009,0.04,0,0.166,0.064,0.084,0.164
"P47","Lo votaría",0.034,0.139,0.653,0.01,0.287,0.186,0.071,0.114
"P47","Puede que lo vote",0.05,0.275,0.25,0.115,0.099,0.037,0.133,0.148
"P47","Nunca lo votaría",0.911,0.545,0.092,0.875,0.41,0.697,0.779,0.633
"P47","No sabe",0.005,0.041,0.005,0,0.204,0.08,0.017,0.105
"P48","Lo votaría",0.114,0.026,0.085,0.513,0.04,0.139,0.041,0
"P48","Puede que lo vote",0.373,0.071,0.055,0.267,0.341,0.127,0.073,0.078
"P48","Nunca lo votaría",0.464,0.885,0.835,0.21,0.516,0.708,0.869,0.82
"P48","No sabe",0.049,0.018,0.025,0.01,0.103,0.026,0.017,0.102
"P49","Lo votaría",0.047,0.054,0.036,0.032,0.399,0.092,0.024,0
"P49","Puede que lo vote",0.229,0.163,0.153,0.402,0.49,0.157,0.024,0.047
"P49","Nunca lo votaría",0.678,0.731,0.75,0.566,0,0.74,0.918,0.864
"P49","No sabe",0.046,0.052,0.061,0,0.111,0.011,0.034,0.089
