"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.496,0.644,0.346,0.634,0.705,0.417,0.29,0.537,0.508,0.444,0.367,0.928,0.15,0.517
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.504,0.356,0.654,0.366,0.295,0.583,0.71,0.463,0.492,0.556,0.633,0.072,0.85,0.483
