"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","Aun no tengo decidido mi voto"
"P08","Totalmente seguro",0.753,0.75,0.523,0.128
"P08","Bastante seguro",0.1,0.129,0.113,0.036
"P08","Algo seguro",0.107,0.078,0.165,0.239
"P08","Para nada seguro",0.04,0.043,0.199,0.597
"P09","Tiene Decidido que va a ir a votar",0.954,0.94,0.686,0.555
"P09","Tiene dudas sobre si va a ir a  votar",0.036,0.047,0.177,0.231
"P09","Tiene Decidido que no va a ir a votar",0.01,0.013,0.137,0.214
"P10","Lo votaría",0.875,0.06,0.084,0.074
"P10","Puede que lo vote",0.07,0.056,0.1,0.241
"P10","Nunca lo votaría",0.049,0.861,0.685,0.442
"P10","No sabe",0.006,0.023,0.131,0.243
"P11","Lo votaría",0.063,0.798,0.068,0.087
"P11","Puede que lo vote",0.091,0.143,0.179,0.284
"P11","Nunca lo votaría",0.819,0.038,0.606,0.349
"P11","No sabe",0.027,0.021,0.147,0.28
