"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco"
"P08","Totalmente seguro",0.231,0.046,0.166
"P08","Bastante seguro",0.227,0.042,0
"P08","Algo seguro",0.035,0.368,0.226
"P08","Para nada seguro",0.507,0.544,0.608
"P09","Tiene Decidido que va a ir a votar",0.484,0.869,0.478
"P09","Tiene dudas sobre si va a ir a  votar",0.49,0.045,0.221
"P09","Tiene Decidido que no va a ir a votar",0.026,0.086,0.301
"P10","Lo votaría",0.24,0.054,0.012
"P10","Puede que lo vote",0.666,0.216,0.223
"P10","Nunca lo votaría",0.044,0.452,0.431
"P10","No sabe",0.05,0.278,0.334
"P11","Lo votaría",0.218,0.04,0.013
"P11","Puede que lo vote",0.015,0.599,0.094
"P11","Nunca lo votaría",0.713,0.071,0.539
"P11","No sabe",0.054,0.29,0.354
