"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.295,0.238,0.263,0.102
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.625,0.65,0.411,0.23
"P06","En blanco",0.063,0.083,0.126,0.156
"P06","Aun no tengo decidido mi voto",0.017,0.029,0.2,0.512
"P09","Tiene Decidido que va a ir a votar",0.95,0.865,0.747,0.667
"P09","Tiene dudas sobre si va a ir a  votar",0.028,0.113,0.168,0.205
"P09","Tiene Decidido que no va a ir a votar",0.022,0.022,0.085,0.128
"P10","Lo votaría",0.328,0.22,0.197,0.088
"P10","Puede que lo vote",0.024,0.112,0.312,0.176
"P10","Nunca lo votaría",0.632,0.656,0.374,0.518
"P10","No sabe",0.016,0.012,0.117,0.218
"P11","Lo votaría",0.574,0.479,0.228,0.15
"P11","Puede que lo vote",0.068,0.257,0.37,0.31
"P11","Nunca lo votaría",0.338,0.233,0.26,0.31
"P11","No sabe",0.02,0.031,0.142,0.23
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.715,0.093,0.437,0.309
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.285,0.907,0.563,0.691
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.387,0.804,0.037,0.216
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.101,0.196,0.519,0.306
"P14","En blanco",0.512,0,0.444,0.478
