"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.264,0.281,0.249,0.32,0.333,0.206,0.185,0.333,0.307,0.157,0.228,0.389,0.189,0.247
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.555,0.558,0.552,0.474,0.507,0.61,0.622,0.512,0.524,0.626,0.591,0.455,0.502,0.576
"En blanco",0.086,0.082,0.091,0.08,0.078,0.106,0.083,0.06,0.084,0.112,0.096,0.058,0.112,0.088
"Aun no tengo decidido mi voto",0.095,0.079,0.108,0.126,0.082,0.078,0.11,0.095,0.085,0.105,0.085,0.098,0.197,0.089
