"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.936,0.924,0.945,0.933,0.935,0.952,0.912,0.951,0.936,0.935,0.928,0.944,0.94,0.942,0.949,0.925,0.935
"No",0.064,0.076,0.055,0.067,0.065,0.048,0.088,0.049,0.064,0.065,0.072,0.056,0.06,0.058,0.051,0.075,0.065
