"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si, las conozco",0.814,0.816,0.813,0.772,0.824,0.853,0.787,0.801,0.86,0.835,0.811,0.822,0.853,0.77,0.847,0.767,0.718
"No, no las conozco",0.08,0.08,0.079,0.115,0.07,0.055,0.107,0.086,0.044,0.057,0.078,0.082,0.072,0.109,0.082,0.065,0.133
"Algunas",0.106,0.104,0.108,0.113,0.106,0.092,0.106,0.113,0.096,0.108,0.111,0.096,0.075,0.121,0.071,0.168,0.149
