"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.62,0.553,0.667,0.707,0.612,0.438,0.616,0.632,0.604,0.627,0.562,0.63,0.636,0.691,0.62,0.634,0.687
"No",0.296,0.343,0.262,0.23,0.298,0.467,0.314,0.282,0.302,0.308,0.361,0.298,0.283,0.168,0.268,0.253,0.253
"No recuerda",0.084,0.104,0.071,0.063,0.09,0.095,0.07,0.086,0.094,0.065,0.077,0.072,0.081,0.141,0.112,0.113,0.06
