"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.722,0.76,0.695,0.648,0.74,0.791,0.768,0.687,0.733,0.717,0.718,0.761,0.727,0.737,0.735,0.617,0.736
"A veces",0.214,0.189,0.232,0.251,0.207,0.165,0.179,0.229,0.223,0.213,0.228,0.174,0.192,0.185,0.192,0.323,0.244
"No",0.064,0.051,0.073,0.101,0.053,0.044,0.053,0.084,0.044,0.07,0.054,0.065,0.081,0.078,0.073,0.06,0.02
