"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.962,0.948,0.972,0.939,0.971,0.957,0.943,0.971,0.965,0.958,0.953,0.95,0.98,0.992,0.959,0.937,0.972
"No",0.038,0.052,0.028,0.061,0.029,0.043,0.057,0.029,0.035,0.042,0.047,0.05,0.02,0.008,0.041,0.063,0.028
