"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.171,0.173,0.17,0.133,0.175,0.222,0.12,0.149,0.238,0.218,0.178,0.167,0.17,0.122,0.108,0.161,0.205
"No",0.829,0.827,0.83,0.867,0.825,0.778,0.88,0.851,0.762,0.782,0.822,0.833,0.83,0.878,0.892,0.839,0.795
