"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.313,0.345,0.291,0.211,0.327,0.423,0.286,0.256,0.408,0.307,0.3,0.324,0.333,0.303,0.265,0.314,0.339
"No",0.687,0.655,0.709,0.789,0.673,0.577,0.714,0.744,0.592,0.693,0.7,0.676,0.667,0.697,0.735,0.686,0.661
