"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.686,0.733,0.653,0.598,0.704,0.766,0.605,0.64,0.818,0.705,0.675,0.658,0.7,0.729,0.792,0.601,0.695
"No",0.314,0.267,0.347,0.402,0.296,0.234,0.395,0.36,0.182,0.295,0.325,0.342,0.3,0.271,0.208,0.399,0.305
