"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.506,0.506,0.507,0.532,0.505,0.46,0.481,0.469,0.573,0.506,0.491,0.553,0.53,0.557,0.454,0.456,0.43
"No",0.494,0.494,0.493,0.468,0.495,0.54,0.519,0.531,0.427,0.494,0.509,0.447,0.47,0.443,0.546,0.544,0.57
