clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,CABA,GBA,INTERIOR,CENTRO,CUYO,NEA,NOA,PATAGONIA
1 hijo,0.561,0.558,0.563,0.49,0.582,0.638,0.538,0.539,0.621,0.559,0.596,0.567,0.541,0.464,0.551,0.606,0.528
2 hijos,0.305,0.318,0.294,0.317,0.304,0.264,0.263,0.329,0.306,0.298,0.27,0.303,0.335,0.396,0.36,0.253,0.272
3 hijos,0.092,0.084,0.099,0.131,0.083,0.03,0.132,0.092,0.051,0.102,0.094,0.104,0.083,0.051,0.032,0.116,0.147
4 o más hijos,0.042,0.04,0.044,0.062,0.031,0.068,0.067,0.04,0.022,0.041,0.04,0.026,0.041,0.089,0.057,0.025,0.053
