"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","GBA","INTERIOR","CENTRO","CUYO","NEA","NOA","PATAGONIA"
"Si",0.182,0.139,0.212,0.253,0.171,0.073,0.229,0.191,0.126,0.175,0.156,0.217,0.174,0.236,0.167,0.202,0.176
"No",0.746,0.781,0.722,0.697,0.753,0.825,0.668,0.744,0.818,0.755,0.784,0.71,0.769,0.682,0.666,0.708,0.768
"No recuerda",0.072,0.08,0.066,0.05,0.076,0.102,0.103,0.065,0.056,0.07,0.06,0.073,0.057,0.082,0.167,0.09,0.056
