"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.038,0.043,0.033,0,0.034,0.047,0.055,0.03,0.051,0.026,0.051,0.097,0,0.007,0.075,0,0,0,6
"Buena",0.136,0.136,0.136,0.17,0.113,0.146,0.157,0.187,0.114,0.141,0.094,0.418,0.015,0.079,0.232,0,0,0,6
"Ni buena ni mala",0.347,0.346,0.348,0.514,0.308,0.345,0.334,0.349,0.366,0.328,0.449,0.291,0.137,0.313,0.361,0,0,0,6
"Mala",0.196,0.198,0.195,0.092,0.245,0.175,0.179,0.112,0.251,0.168,0.198,0.144,0.354,0.291,0.125,0,0,0,6
"Muy mala",0.189,0.16,0.213,0.13,0.23,0.156,0.181,0.1,0.161,0.247,0.092,0.044,0.389,0.204,0.117,0,0,0,6
"No sabe",0.094,0.117,0.075,0.094,0.07,0.131,0.094,0.222,0.057,0.09,0.116,0.006,0.105,0.106,0.09,0,0,0,6
"Positiva",0.174,0.179,0.169,0.17,0.147,0.193,0.212,0.217,0.165,0.167,0.145,0.515,0.015,0.086,0.307,0,0,0,4
"Neutra",0.347,0.346,0.348,0.514,0.308,0.345,0.334,0.349,0.366,0.328,0.449,0.291,0.137,0.313,0.361,0,0,0,4
"Negativa",0.385,0.358,0.408,0.222,0.475,0.331,0.36,0.212,0.412,0.415,0.29,0.188,0.743,0.495,0.242,0,0,0,4
"No sabe",0.094,0.117,0.075,0.094,0.07,0.131,0.094,0.222,0.057,0.09,0.116,0.006,0.105,0.106,0.09,0,0,0,4
