"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Juan Schiaretti","Positiva",0.265,0.229,0.295,0.335,0.298,0.205,0.23,0.213,0.272,0.273,0.239,0.382,0.037,0.107,0.458,0,0,0
"Juan Schiaretti","Neutra",0.375,0.414,0.341,0.234,0.388,0.404,0.39,0.499,0.388,0.322,0.435,0.51,0.334,0.37,0.393,0,0,0
"Juan Schiaretti","Negativa",0.336,0.335,0.338,0.431,0.296,0.358,0.338,0.244,0.335,0.368,0.299,0.095,0.629,0.498,0.137,0,0,0
"Juan Schiaretti","No sabe",0.024,0.022,0.026,0,0.018,0.033,0.042,0.044,0.005,0.037,0.027,0.013,0,0.025,0.012,0,0,0
"Alberto Weretilneck","Positiva",0.328,0.291,0.36,0.262,0.268,0.423,0.374,0.434,0.338,0.28,0.531,0.173,0.261,0.395,0.246,0,0,0
"Alberto Weretilneck","Neutra",0.297,0.333,0.267,0.307,0.316,0.236,0.348,0.265,0.28,0.327,0.285,0.187,0.253,0.391,0.23,0,0,0
"Alberto Weretilneck","Negativa",0.354,0.353,0.353,0.345,0.416,0.307,0.272,0.245,0.358,0.388,0.163,0.632,0.344,0.193,0.521,0,0,0
"Alberto Weretilneck","No sabe",0.021,0.023,0.02,0.086,0,0.034,0.006,0.056,0.024,0.005,0.021,0.008,0.142,0.021,0.003,0,0,0
"Aníbal Tortoriello","Positiva",0.174,0.179,0.169,0.17,0.147,0.193,0.212,0.217,0.165,0.167,0.145,0.515,0.015,0.086,0.307,0,0,0
"Aníbal Tortoriello","Neutra",0.347,0.346,0.348,0.514,0.308,0.345,0.334,0.349,0.366,0.328,0.449,0.291,0.137,0.313,0.361,0,0,0
"Aníbal Tortoriello","Negativa",0.385,0.358,0.408,0.222,0.475,0.331,0.36,0.212,0.412,0.415,0.29,0.188,0.743,0.495,0.242,0,0,0
"Aníbal Tortoriello","No sabe",0.094,0.117,0.075,0.094,0.07,0.131,0.094,0.222,0.057,0.09,0.116,0.006,0.105,0.106,0.09,0,0,0
"María Emilia Soria","Positiva",0.26,0.245,0.272,0.217,0.241,0.303,0.267,0.257,0.281,0.241,0.325,0.06,0.575,0.5,0.068,0,0,0
"María Emilia Soria","Neutra",0.251,0.233,0.268,0.13,0.278,0.23,0.309,0.352,0.223,0.245,0.31,0.152,0.095,0.244,0.246,0,0,0
"María Emilia Soria","Negativa",0.447,0.463,0.432,0.606,0.444,0.424,0.373,0.348,0.46,0.466,0.314,0.788,0.315,0.198,0.662,0,0,0
"María Emilia Soria","No sabe",0.042,0.059,0.028,0.047,0.037,0.043,0.051,0.043,0.036,0.048,0.051,0,0.015,0.058,0.024,0,0,0
"Victoria Villarruel","Positiva",0.402,0.447,0.363,0.467,0.437,0.357,0.34,0.417,0.442,0.354,0.254,0.831,0.028,0.04,0.764,0,0,0
"Victoria Villarruel","Neutra",0.133,0.077,0.18,0.092,0.088,0.156,0.24,0.277,0.128,0.092,0.241,0.144,0.075,0.153,0.146,0,0,0
"Victoria Villarruel","Negativa",0.455,0.463,0.448,0.441,0.466,0.487,0.378,0.262,0.43,0.543,0.496,0.025,0.885,0.796,0.09,0,0,0
"Victoria Villarruel","No sabe",0.01,0.013,0.009,0,0.009,0,0.042,0.044,0,0.011,0.009,0,0.012,0.011,0,0,0,0
"Axel Kicillof","Positiva",0.382,0.391,0.374,0.435,0.334,0.449,0.355,0.37,0.326,0.446,0.484,0.024,0.972,0.77,0.032,0,0,0
"Axel Kicillof","Neutra",0.102,0.092,0.11,0.049,0.101,0.122,0.107,0.126,0.137,0.057,0.156,0.088,0,0.154,0.052,0,0,0
"Axel Kicillof","Negativa",0.504,0.491,0.516,0.516,0.565,0.407,0.502,0.46,0.525,0.495,0.358,0.888,0.028,0.064,0.914,0,0,0
"Axel Kicillof","No sabe",0.012,0.026,0,0,0,0.022,0.036,0.044,0.012,0.002,0.002,0,0,0.012,0.002,0,0,0
"Javier Milei","Positiva",0.396,0.422,0.374,0.423,0.435,0.363,0.329,0.328,0.443,0.368,0.293,0.759,0.043,0.071,0.781,0,0,0
"Javier Milei","Neutra",0.082,0.048,0.111,0,0.083,0.116,0.081,0.081,0.107,0.056,0.108,0.152,0,0.047,0.115,0,0,0
"Javier Milei","Negativa",0.507,0.506,0.508,0.577,0.473,0.503,0.554,0.547,0.438,0.567,0.59,0.089,0.957,0.861,0.104,0,0,0
"Javier Milei","No sabe",0.015,0.024,0.007,0,0.009,0.018,0.036,0.044,0.012,0.009,0.009,0,0,0.021,0,0,0,0
"CFK","Positiva",0.402,0.414,0.392,0.431,0.347,0.446,0.45,0.392,0.371,0.438,0.502,0.048,0.96,0.783,0.059,0,0,0
"CFK","Neutra",0.065,0.071,0.059,0.102,0.071,0.068,0.015,0.054,0.076,0.057,0.102,0.033,0,0.11,0.033,0,0,0
"CFK","Negativa",0.52,0.495,0.541,0.467,0.574,0.475,0.493,0.51,0.548,0.492,0.384,0.919,0.028,0.096,0.902,0,0,0
"CFK","No sabe",0.013,0.02,0.008,0,0.008,0.011,0.042,0.044,0.005,0.013,0.012,0,0.012,0.011,0.006,0,0,0
"Patricia Bullrich","Positiva",0.396,0.413,0.381,0.467,0.424,0.365,0.323,0.336,0.453,0.354,0.271,0.83,0.012,0.03,0.778,0,0,0
