"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P11","Muy buena",0.21,0,0.079,0.037,0.014,0.02,0.004,0.142,0
"P11","Buena",0.052,0,0.016,0.026,0.227,0.116,0.222,0.151,0
"P11","Ni buena ni mala",0.323,0,0.328,0.242,0.249,0.577,0.449,0.349,0.749
"P11","Mala",0.415,0,0.182,0.595,0.326,0.062,0.198,0.125,0
"P11","Muy mala",0,0,0.395,0.1,0.177,0.216,0.102,0.23,0
"P11","No sabe",0,0,0,0,0.007,0.009,0.025,0.003,0.251
"P12","Muy buena",0.593,0,0.563,0.532,0.311,0.38,0.18,0.127,0
"P12","Buena",0.236,0,0.189,0.257,0.233,0.145,0.177,0.072,0
"P12","Ni buena ni mala",0,0,0.057,0.025,0.105,0.088,0.124,0.165,0.736
"P12","Mala",0.039,0,0.017,0,0.049,0.114,0.172,0.141,0
"P12","Muy mala",0.132,0,0.174,0.186,0.302,0.263,0.324,0.468,0
"P12","No sabe",0,0,0,0,0,0.01,0.023,0.027,0.264
"P13","Muy buena",0,0,0.089,0.033,0.014,0,0.05,0.037,0
"P13","Buena",0.092,0,0.125,0.019,0.029,0.264,0.16,0.121,0
"P13","Ni buena ni mala",0.24,0,0.486,0.461,0.471,0.385,0.461,0.454,0.75
"P13","Mala",0.395,0,0.099,0.325,0.325,0.129,0.18,0.212,0
"P13","Muy mala",0.273,0,0.201,0.139,0.157,0.155,0.127,0.173,0
"P13","No sabe",0,0,0,0.023,0.004,0.067,0.022,0.003,0.25
"P15","Muy buena",0.071,0,0,0.036,0.06,0,0.081,0.175,0
"P15","Buena",0.258,0,0.277,0.137,0.22,0.221,0.24,0.241,0
"P15","Ni buena ni mala",0.344,0,0.32,0.331,0.301,0.523,0.439,0.279,0.749
"P15","Mala",0.306,0,0.186,0.236,0.253,0.051,0.134,0.133,0
"P15","Muy mala",0.021,0,0.217,0.26,0.16,0.196,0.07,0.15,0
"P15","No sabe",0,0,0,0,0.006,0.009,0.036,0.022,0.251
"P16","Gobierno nacional",0.16,0,0.234,0.058,0.164,0.305,0.367,0.559,0
"P16","Gobierno provincial",0.512,0,0.748,0.804,0.59,0.517,0.513,0.242,0.101
"P16","No sabe",0.328,0,0.018,0.138,0.246,0.178,0.12,0.199,0.899
"P17","El anterior gobierno de Arabela Carreras",0.214,0,0.336,0.317,0.503,0.546,0.542,0.43,0
"P17","El actual gobierno de Alberto Weretilneck",0.786,0,0.598,0.628,0.442,0.406,0.207,0.44,0
"P17","No sabe",0,0,0.066,0.055,0.055,0.048,0.251,0.13,1
"P18","El anterior gobierno de Alberto Fernández",0.127,0,0.891,0.598,0.548,0.303,0.414,0.298,0
"P18","El actual gobierno de Javier Milei",0.873,0,0.062,0.402,0.305,0.434,0.586,0.674,0
"P18","No sabe",0,0,0.047,0,0.147,0.263,0,0.028,0
"P19","Muy buena",0.168,0,0.028,0,0.009,0.014,0.013,0.039,0
"P19","Buena",0.215,0,0.179,0.016,0.13,0.21,0.167,0.196,0.61
"P19","Ni buena ni mala",0.072,0,0.298,0.298,0.333,0.219,0.277,0.338,0.292
"P19","Mala",0.186,0,0.322,0.686,0.398,0.305,0.31,0.247,0.098
"P19","Muy mala",0.315,0,0.173,0,0.066,0.252,0.22,0.18,0
"P19","No sabe",0.044,0,0,0,0.064,0,0.013,0,0
"P20","Muy buena",0,0,0,0,0.064,0,0.022,0.062,0
"P20","Buena",0,0,0,0,0.065,0.069,0.106,0.145,0
"P20","Ni buena ni mala",0.229,0,0.156,0.321,0.177,0.22,0.291,0.337,0.285
"P20","Mala",0.319,0,0.491,0.575,0.436,0.41,0.369,0.251,0.715
"P20","Muy mala",0.452,0,0.292,0.104,0.186,0.234,0.203,0.202,0
"P20","No sabe",0,0,0.061,0,0.072,0.067,0.009,0.003,0
"P21","Muy buena",0,0,0,0,0,0.02,0,0,0
"P21","Buena",0,0,0.219,0.072,0.115,0.096,0.168,0.217,0
"P21","Ni buena ni mala",0.068,0,0.175,0.337,0.313,0.368,0.375,0.319,0
"P21","Mala",0.56,0,0.381,0.348,0.393,0.374,0.241,0.329,0.717
"P21","Muy mala",0.372,0,0.225,0.243,0.172,0.129,0.2,0.132,0
"P21","No sabe",0,0,0,0,0.007,0.013,0.016,0.003,0.283
"P22","Muy de acuerdo",0.353,0,0.219,0.218,0.278,0.342,0.356,0.445,0
"P22","De acuerdo",0.028,0,0.097,0.331,0.266,0.124,0.2,0.208,0
"P22","Ni de acuerdo ni en desacuerdo",0.34,0,0.31,0.142,0.175,0.261,0.286,0.191,0
"P22","En desacuerdo",0.026,0,0.122,0.288,0.142,0.141,0.077,0.086,0.717
"P22","Muy en desacuerdo",0.253,0,0.212,0,0.081,0.086,0.068,0.05,0
"P22","No sabe",0,0,0.04,0.021,0.058,0.046,0.013,0.02,0.283
"P23","El estado nacional",0.039,0,0.268,0.092,0.113,0.115,0.157,0.116,0
"P23","El estado provincial",0.228,0,0.185,0.192,0.356,0.459,0.51,0.579,0
"P23","Ambos de forma coordinada",0.68,0,0.48,0.638,0.441,0.249,0.282,0.256,0.567
"P23","No sabe",0.053,0,0.067,0.078,0.09,0.177,0.051,0.049,0.433
"P24","Inseguridad y narcotráfico",0.17,0,0.243,0.238,0.126,0.266,0.26,0.36,0
"P24","Altos impuestos y tarifas",0.052,0,0.346,0.454,0.291,0.206,0.176,0.157,0.584
"P24","Educación y estado de las escuelas",0.261,0,0.064,0.074,0.123,0.118,0.165,0.209,0
"P24","Inflación",0.389,0,0.101,0.183,0.199,0.047,0.246,0.195,0
"P24","Estado de la salud",0.078,0,0.022,0,0.026,0.081,0.035,0.029,0
"P24","Corrupción",0.05,0,0.183,0.036,0.225,0.154,0.051,0.047,0.416
"P24","Pobreza",0,0,0.041,0.015,0.005,0.007,0.048,0.003,0
"P24","Medio ambiente, incendios y contaminación",0,0,0,0,0.005,0,0,0,0
"P24","Falta de trabajo",0,0,0,0,0,0.105,0.011,0,0
"P24","No sabe",0,0,0,0,0,0.016,0.008,0,0
"P28","Muy buena",0,0,0,0,0,0,0.007,0.02,0
"P28","Buena",0.05,0,0.033,0.238,0.041,0.028,0.035,0.068,0
"P28","Ni buena ni mala",0.38,0,0.447,0.22,0.407,0.374,0.345,0.412,0.077
"P28","Mala",0.492,0,0.28,0.467,0.308,0.323,0.441,0.256,0.514
"P28","Muy mala",0.078,0,0.24,0.075,0.204,0.135,0.124,0.223,0
"P28","No sabe",0,0,0,0,0.04,0.14,0.048,0.021,0.409
"P29","Peor",0.834,0,0.389,0.164,0.446,0.568,0.493,0.646,0
"P29","Igual",0.103,0,0.499,0.752,0.44,0.262,0.303,0.273,0.585
"P29","Mejor",0.063,0,0.076,0,0.007,0.071,0.112,0.048,0
"P29","No sabe",0,0,0.036,0.084,0.107,0.099,0.092,0.033,0.415
"P30","Peor",0.832,0,0.401,0.444,0.546,0.372,0.507,0.634,0
"P30","Igual",0.168,0,0.274,0.412,0.224,0.347,0.296,0.211,0.076
"P30","Mejor",0,0,0.296,0.086,0.109,0.173,0.129,0.05,0.51
"P30","No sabe",0,0,0.029,0.058,0.121,0.108,0.068,0.105,0.414
"P31","Javier Milei",0.674,0,0.774,0.804,0.526,0.586,0.425,0.238,0
"P31","Los gobernadores",0.326,0,0.137,0.144,0.419,0.288,0.514,0.692,0.519
"P31","No sabe",0,0,0.089,0.052,0.055,0.126,0.061,0.07,0.481
"P32","Muy buena",0,0,0,0.02,0.168,0.207,0.129,0.151,0
"P32","Buena",0,0,0.055,0.104,0.227,0.189,0.227,0.198,0
"P32","Ni buena ni mala",0.603,0,0.287,0.419,0.215,0.173,0.307,0.309,1
"P32","Mala",0.342,0,0.406,0.365,0.176,0.292,0.25,0.167,0
"P32","Muy mala",0.055,0,0.252,0.092,0.207,0.139,0.082,0.122,0
"P32","No sabe",0,0,0,0,0.007,0,0.005,0.053,0
"P33","Muy buena",0,0,0.047,0.125,0.054,0.052,0.039,0.09,0
"P33","Buena",0.067,0,0.221,0.043,0.156,0.122,0.141,0.063,0
"P33","Ni buena ni mala",0.257,0,0.221,0.597,0.321,0.078,0.258,0.207,0.073
"P33","Mala",0.621,0,0.184,0.188,0.28,0.249,0.389,0.236,0.538
"P33","Muy mala",0,0,0.327,0.047,0.182,0.499,0.173,0.404,0
"P33","No sabe",0.055,0,0,0,0.007,0,0,0,0.389
"P34","Muy buena",0.241,0,0.037,0,0.047,0.062,0.098,0.179,0
"P34","Buena",0,0,0.079,0.029,0.102,0.118,0.168,0.208,0
"P34","Ni buena ni mala",0.188,0,0.03,0.153,0.231,0.268,0.308,0.244,0.535
"P34","Mala",0,0,0.263,0.565,0.32,0.172,0.243,0.179,0
"P34","Muy mala",0.571,0,0.487,0.253,0.233,0.308,0.154,0.176,0.072
"P34","No sabe",0,0,0.104,0,0.067,0.072,0.029,0.014,0.393
"P35","Muy buena",0.115,0,0.045,0,0.037,0.023,0.012,0.062,0
"P35","Buena",0.229,0,0.388,0.325,0.17,0.157,0.131,0.058,0.155
"P35","Ni buena ni mala",0.122,0,0.168,0.212,0.236,0.409,0.358,0.419,0
"P35","Mala",0.054,0,0.18,0.361,0.208,0.149,0.203,0.196,0
"P35","Muy mala",0.48,0,0.062,0.102,0.244,0.187,0.186,0.19,0
"P35","No sabe",0,0,0.157,0,0.105,0.075,0.11,0.075,0.845
"P36","Muy buena",0.173,0,0.143,0,0.138,0.199,0.366,0.431,0
"P36","Buena",0,0,0.084,0.118,0.14,0.045,0.067,0.128,0
"P36","Ni buena ni mala",0,0,0,0,0.035,0.116,0.038,0.101,0
"P36","Mala",0.134,0,0.11,0.315,0.185,0.097,0.121,0.118,0
"P36","Muy mala",0.693,0,0.663,0.567,0.496,0.529,0.399,0.214,0.159
"P36","No sabe",0,0,0,0,0.006,0.014,0.009,0.008,0.841
"P37","Muy buena",0.429,0,0.225,0.099,0.102,0.125,0.081,0.104,0
"P37","Buena",0.199,0,0.181,0.429,0.282,0.215,0.176,0.02,0
"P37","Ni buena ni mala",0.094,0,0.239,0.292,0.088,0.152,0.044,0.066,0.16
"P37","Mala",0,0,0.156,0.063,0.242,0.218,0.365,0.221,0
"P37","Muy mala",0.278,0,0.199,0.117,0.28,0.29,0.331,0.586,0
"P37","No sabe",0,0,0,0,0.006,0,0.003,0.003,0.84
"P38","Muy buena",0.112,0,0.05,0.02,0.026,0.008,0.014,0.201,0
"P38","Buena",0,0,0.035,0.02,0.151,0.073,0.21,0.202,0
"P38","Ni buena ni mala",0,0,0.039,0.098,0.113,0.115,0.232,0.194,0
"P38","Mala",0.227,0,0.176,0.315,0.223,0.228,0.154,0.114,0
"P38","Muy mala",0.661,0,0.7,0.547,0.487,0.576,0.39,0.286,0.16
"P38","No sabe",0,0,0,0,0,0,0,0.003,0.84
"P39","Muy buena",0.163,0,0.126,0.063,0.192,0.148,0.363,0.369,0
