"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.11,0.106,0.113,0.277,0.072,0.101,0.108,0.189,0.125,0.069,0.11,0.268,0,0.004,0.215,0,0,0,6
"Buena",0.152,0.114,0.185,0.141,0.116,0.18,0.203,0.115,0.171,0.144,0.072,0.36,0,0.018,0.321,0,0,0,6
"Ni buena ni mala",0.093,0.138,0.054,0.049,0.129,0.063,0.082,0.126,0.076,0.1,0.11,0.167,0.028,0.046,0.148,0,0,0,6
"Mala",0.247,0.204,0.285,0.184,0.269,0.262,0.21,0.348,0.281,0.18,0.294,0.123,0.31,0.277,0.224,0,0,0,6
"Muy mala",0.389,0.424,0.359,0.349,0.414,0.39,0.35,0.178,0.347,0.5,0.412,0.082,0.634,0.649,0.092,0,0,0,6
"No sabe",0.009,0.014,0.004,0,0,0.004,0.047,0.044,0,0.007,0.002,0,0.028,0.006,0,0,0,0,6
"Positiva",0.262,0.22,0.298,0.418,0.188,0.281,0.311,0.304,0.296,0.213,0.182,0.628,0,0.022,0.536,0,0,0,4
"Neutra",0.093,0.138,0.054,0.049,0.129,0.063,0.082,0.126,0.076,0.1,0.11,0.167,0.028,0.046,0.148,0,0,0,4
"Negativa",0.636,0.628,0.644,0.533,0.683,0.652,0.56,0.526,0.628,0.68,0.706,0.205,0.944,0.926,0.316,0,0,0,4
"No sabe",0.009,0.014,0.004,0,0,0.004,0.047,0.044,0,0.007,0.002,0,0.028,0.006,0,0,0,0,4
