"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.136,0.083,0.182,0.046,0.171,0.157,0.075,0.158,0.2,0.062,0.209,0.112,0.108,0.137,0.16,0,0,0,6
"Buena",0.192,0.208,0.178,0.216,0.097,0.266,0.299,0.276,0.138,0.218,0.322,0.061,0.153,0.258,0.086,0,0,0,6
"Ni buena ni mala",0.297,0.333,0.267,0.307,0.316,0.236,0.348,0.265,0.28,0.327,0.285,0.187,0.253,0.391,0.23,0,0,0,6
"Mala",0.226,0.225,0.226,0.216,0.258,0.214,0.166,0.175,0.219,0.251,0.155,0.38,0.333,0.152,0.319,0,0,0,6
"Muy mala",0.128,0.128,0.127,0.129,0.158,0.093,0.106,0.07,0.139,0.137,0.008,0.252,0.011,0.041,0.202,0,0,0,6
"No sabe",0.021,0.023,0.02,0.086,0,0.034,0.006,0.056,0.024,0.005,0.021,0.008,0.142,0.021,0.003,0,0,0,6
"Positiva",0.328,0.291,0.36,0.262,0.268,0.423,0.374,0.434,0.338,0.28,0.531,0.173,0.261,0.395,0.246,0,0,0,4
"Neutra",0.297,0.333,0.267,0.307,0.316,0.236,0.348,0.265,0.28,0.327,0.285,0.187,0.253,0.391,0.23,0,0,0,4
"Negativa",0.354,0.353,0.353,0.345,0.416,0.307,0.272,0.245,0.358,0.388,0.163,0.632,0.344,0.193,0.521,0,0,0,4
"No sabe",0.021,0.023,0.02,0.086,0,0.034,0.006,0.056,0.024,0.005,0.021,0.008,0.142,0.021,0.003,0,0,0,4
