"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.222,0.199,0.242,0.233,0.234,0.202,0.218,0.136,0.301,0.166,0.111,0.492,0.012,0.014,0.455,0,0,0,6
"Buena",0.174,0.214,0.139,0.234,0.19,0.163,0.105,0.2,0.152,0.188,0.16,0.338,0,0.016,0.323,0,0,0,6
"Ni buena ni mala",0.061,0.049,0.071,0.092,0.037,0.055,0.113,0.043,0.046,0.082,0.078,0.102,0.091,0.016,0.093,0,0,0,6
"Mala",0.136,0.09,0.176,0.141,0.112,0.16,0.155,0.298,0.13,0.092,0.237,0.026,0.137,0.253,0.056,0,0,0,6
"Muy mala",0.387,0.428,0.352,0.3,0.399,0.412,0.373,0.198,0.366,0.469,0.405,0.042,0.76,0.693,0.049,0,0,0,6
"No sabe",0.02,0.02,0.02,0,0.028,0.008,0.036,0.125,0.005,0.003,0.009,0,0,0.008,0.024,0,0,0,6
"Positiva",0.396,0.413,0.381,0.467,0.424,0.365,0.323,0.336,0.453,0.354,0.271,0.83,0.012,0.03,0.778,0,0,0,4
"Neutra",0.061,0.049,0.071,0.092,0.037,0.055,0.113,0.043,0.046,0.082,0.078,0.102,0.091,0.016,0.093,0,0,0,4
"Negativa",0.523,0.518,0.528,0.441,0.511,0.572,0.528,0.496,0.496,0.561,0.642,0.068,0.897,0.946,0.105,0,0,0,4
"No sabe",0.02,0.02,0.02,0,0.028,0.008,0.036,0.125,0.005,0.003,0.009,0,0,0.008,0.024,0,0,0,4
