"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.108,0.136,0.084,0.085,0.107,0.133,0.086,0.11,0.139,0.077,0.111,0,0.34,0.24,0,0,0,0,6
"Buena",0.152,0.109,0.188,0.132,0.134,0.17,0.181,0.147,0.142,0.164,0.214,0.06,0.235,0.26,0.068,0,0,0,6
"Ni buena ni mala",0.251,0.233,0.268,0.13,0.278,0.23,0.309,0.352,0.223,0.245,0.31,0.152,0.095,0.244,0.246,0,0,0,6
"Mala",0.23,0.208,0.248,0.261,0.192,0.27,0.236,0.155,0.232,0.253,0.194,0.358,0.178,0.145,0.303,0,0,0,6
"Muy mala",0.217,0.255,0.184,0.345,0.252,0.154,0.137,0.193,0.228,0.213,0.12,0.43,0.137,0.053,0.359,0,0,0,6
"No sabe",0.042,0.059,0.028,0.047,0.037,0.043,0.051,0.043,0.036,0.048,0.051,0,0.015,0.058,0.024,0,0,0,6
"Positiva",0.26,0.245,0.272,0.217,0.241,0.303,0.267,0.257,0.281,0.241,0.325,0.06,0.575,0.5,0.068,0,0,0,4
"Neutra",0.251,0.233,0.268,0.13,0.278,0.23,0.309,0.352,0.223,0.245,0.31,0.152,0.095,0.244,0.246,0,0,0,4
"Negativa",0.447,0.463,0.432,0.606,0.444,0.424,0.373,0.348,0.46,0.466,0.314,0.788,0.315,0.198,0.662,0,0,0,4
"No sabe",0.042,0.059,0.028,0.047,0.037,0.043,0.051,0.043,0.036,0.048,0.051,0,0.015,0.058,0.024,0,0,0,4
