"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.062,0.04,0.081,0.049,0.08,0.059,0.029,0,0.079,0.064,0.03,0.115,0,0.017,0.113,0,0,0,6
"Buena",0.203,0.189,0.214,0.286,0.218,0.146,0.201,0.213,0.193,0.209,0.209,0.267,0.037,0.09,0.345,0,0,0,6
"Ni buena ni mala",0.375,0.414,0.341,0.234,0.388,0.404,0.39,0.499,0.388,0.322,0.435,0.51,0.334,0.37,0.393,0,0,0,6
"Mala",0.154,0.144,0.163,0.286,0.127,0.145,0.15,0.134,0.165,0.15,0.159,0.088,0.485,0.219,0.096,0,0,0,6
"Muy mala",0.182,0.191,0.175,0.145,0.169,0.213,0.188,0.11,0.17,0.218,0.14,0.007,0.144,0.279,0.041,0,0,0,6
"No sabe",0.024,0.022,0.026,0,0.018,0.033,0.042,0.044,0.005,0.037,0.027,0.013,0,0.025,0.012,0,0,0,6
"Positiva",0.265,0.229,0.295,0.335,0.298,0.205,0.23,0.213,0.272,0.273,0.239,0.382,0.037,0.107,0.458,0,0,0,4
"Neutra",0.375,0.414,0.341,0.234,0.388,0.404,0.39,0.499,0.388,0.322,0.435,0.51,0.334,0.37,0.393,0,0,0,4
"Negativa",0.336,0.335,0.338,0.431,0.296,0.358,0.338,0.244,0.335,0.368,0.299,0.095,0.629,0.498,0.137,0,0,0,4
"No sabe",0.024,0.022,0.026,0,0.018,0.033,0.042,0.044,0.005,0.037,0.027,0.013,0,0.025,0.012,0,0,0,4
