"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.284,0.287,0.282,0.25,0.288,0.342,0.196,0.166,0.282,0.324,0.3,0.024,0.842,0.617,0.017,0,0,0,6
"Buena",0.098,0.104,0.092,0.185,0.046,0.107,0.159,0.204,0.044,0.122,0.184,0,0.13,0.153,0.015,0,0,0,6
"Ni buena ni mala",0.102,0.092,0.11,0.049,0.101,0.122,0.107,0.126,0.137,0.057,0.156,0.088,0,0.154,0.052,0,0,0,6
"Mala",0.129,0.141,0.118,0.141,0.141,0.092,0.149,0.17,0.116,0.129,0.14,0.103,0,0.037,0.214,0,0,0,6
"Muy mala",0.375,0.35,0.398,0.375,0.424,0.315,0.353,0.29,0.409,0.366,0.218,0.785,0.028,0.027,0.7,0,0,0,6
"No sabe",0.012,0.026,0,0,0,0.022,0.036,0.044,0.012,0.002,0.002,0,0,0.012,0.002,0,0,0,6
"Positiva",0.382,0.391,0.374,0.435,0.334,0.449,0.355,0.37,0.326,0.446,0.484,0.024,0.972,0.77,0.032,0,0,0,4
"Neutra",0.102,0.092,0.11,0.049,0.101,0.122,0.107,0.126,0.137,0.057,0.156,0.088,0,0.154,0.052,0,0,0,4
"Negativa",0.504,0.491,0.516,0.516,0.565,0.407,0.502,0.46,0.525,0.495,0.358,0.888,0.028,0.064,0.914,0,0,0,4
"No sabe",0.012,0.026,0,0,0,0.022,0.036,0.044,0.012,0.002,0.002,0,0,0.012,0.002,0,0,0,4
