"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"El anterior gobierno de Alberto Fernández",0.38,0.248,0.481,0.051,0.358,0.433,0.619,0.497,0.495,0.208,0.381,0.668,0,0.097,0.672,0,0,0
"El actual gobierno de Javier Milei",0.555,0.752,0.405,0.694,0.576,0.561,0.381,0.503,0.505,0.631,0.542,0.332,1,0.868,0.237,0,0,0
"No sabe",0.065,0,0.114,0.255,0.066,0.006,0,0,0,0.161,0.077,0,0,0.035,0.091,0,0,0
