"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.344,0.312,0.375,0.302,0.366,0.356,0.347,0.344,0.302,0.413,0.754,0.488,0.263,0.249,0.077,0.371,0.322
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.375,0.456,0.295,0.475,0.401,0.288,0.204,0.35,0.38,0.4,0.111,0.232,0.28,0.343,0.8,0.348,0.396
"En blanco",0.177,0.167,0.188,0.168,0.152,0.209,0.228,0.217,0.187,0.108,0.082,0.211,0.359,0.205,0.095,0.188,0.169
"No sabe",0.104,0.065,0.142,0.055,0.081,0.147,0.221,0.089,0.131,0.079,0.053,0.069,0.098,0.203,0.028,0.093,0.113
