"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.413,0.341,0.392,0.416
"P05","Bastante",0.336,0.407,0.412,0.199
"P05","Poco",0.202,0.161,0.123,0.26
"P05","Nada",0.049,0.072,0.06,0.118
"P05","No sabe",0,0.019,0.013,0.007
"P06","Siempre",0.254,0.198,0.111,0.259
"P06","Casi siempre",0.353,0.367,0.418,0.296
"P06","Casi nunca",0.303,0.332,0.359,0.248
"P06","Nunca, pero esta es una excepción",0.09,0.103,0.112,0.197
"P08","Unidos para Cambiar jujuy",0.166,0.067,0.469,0.396
"P08","Juntos Avancemos",0.583,0.116,0.109,0.08
"P08","De los liberales libertarios",0.095,0.565,0.18,0.065
"P08","De la Izquierda",0.039,0.04,0.045,0.055
"P08","Hacemos por nuestro país",0.024,0.123,0.082,0.115
"P08","En blanco",0.019,0.029,0.078,0.078
"P08","No sabe",0.074,0.06,0.037,0.211
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.195,0.079,0.555,0.415
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.554,0.179,0.126,0.03
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.147,0.691,0.175,0.114
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.003,0.007,0.057,0.042
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.019,0.005,0.147
"P11","En blanco",0.034,0.002,0.062,0.087
"P11","No sabe",0.046,0.023,0.02,0.165
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.376,0.579,0.232,0.345
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.308,0.164,0.135,0.073
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.211,0.132,0.374,0.352
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.052,0.045,0.104,0.145
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.019,0.032,0.049,0.017
"P14","No sabe",0.034,0.048,0.106,0.068
"P15","Totalmente seguro.",0.592,0.75,0.704,0.627
"P15","Bastante seguro",0.173,0.102,0.12,0.049
"P15","Algo seguro",0.139,0.098,0.107,0.148
"P15","Para nada seguro",0.096,0.05,0.069,0.176
"P16","Tiene Decidido que va a ir a votar.",0.93,0.894,0.887,0.824
"P16","Tiene dudas sobre si va a ir a  votar",0.053,0.064,0.033,0.142
"P16","Tiene Decidido que no va a ir a votar",0.017,0.042,0.08,0.034
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.398,0.226,0.622,0.614
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.552,0.312,0.024,0.013
"P17","En blanco",0.021,0.284,0.257,0.016
"P17","No sabe",0.029,0.178,0.097,0.357
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.446,0.099,0.455,0.484
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.201,0.813,0.178,0.094
"P19","En blanco",0.227,0.068,0.358,0.014
"P19","No sabe",0.126,0.02,0.009,0.408
"P20","Si",0.399,0.347,0.353,0.477
"P20","No",0.601,0.653,0.647,0.523
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.207,0.09,0.555,0.457
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.563,0.178,0.134,0.053
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.163,0.703,0.177,0.177
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.008,0.057,0.069
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.019,0.015,0.15
"P11_imputada","En blanco",0.034,0.002,0.062,0.094
