"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.398,0.373,0.397,0.293
"P05","Bastante",0.349,0.422,0.319,0.253
"P05","Poco",0.176,0.152,0.203,0.299
"P05","Nada",0.069,0.038,0.075,0.153
"P05","No sabe",0.008,0.015,0.006,0.002
"P06","Siempre",0.285,0.179,0.115,0.204
"P06","Casi siempre",0.3,0.396,0.427,0.295
"P06","Casi nunca",0.269,0.325,0.388,0.361
"P06","Nunca, pero esta es una excepción",0.146,0.1,0.07,0.14
"P08","Unidos para Cambiar jujuy",0.481,0.024,0.216,0.099
"P08","Juntos Avancemos",0.288,0.14,0.493,0.409
"P08","De los liberales libertarios",0.122,0.538,0.066,0.036
"P08","De la Izquierda",0.035,0.035,0.036,0.118
"P08","Hacemos por nuestro país",0.013,0.137,0.01,0.107
"P08","En blanco",0.027,0.027,0.131,0.006
"P08","No sabe",0.034,0.099,0.048,0.225
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.607,0.043,0.179,0.058
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.179,0.235,0.507,0.412
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.147,0.626,0.133,0.117
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.011,0.047,0.045
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.031,0.008,0.13
"P11","En blanco",0.001,0.024,0.113,0.029
"P11","No sabe",0.044,0.03,0.013,0.209
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.179,0.612,0.385,0.415
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.238,0.159,0.26,0.172
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.383,0.116,0.22,0.184
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.127,0.041,0.022,0.096
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.022,0.024,0.032,0.046
"P14","No sabe",0.051,0.048,0.081,0.087
"P15","Totalmente seguro.",0.659,0.77,0.551,0.521
"P15","Bastante seguro",0.166,0.089,0.14,0.084
"P15","Algo seguro",0.118,0.096,0.164,0.178
"P15","Para nada seguro",0.057,0.045,0.145,0.217
"P16","Tiene Decidido que va a ir a votar.",0.94,0.937,0.829,0.776
"P16","Tiene dudas sobre si va a ir a  votar",0.052,0.029,0.051,0.204
"P16","Tiene Decidido que no va a ir a votar",0.008,0.034,0.12,0.02
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.777,0.21,0.299,0.218
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.192,0.307,0.452,0.449
"P17","En blanco",0.017,0.282,0.17,0.009
"P17","No sabe",0.014,0.201,0.079,0.324
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.467,0.193,0.462,0.435
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.091,0.68,0.121,0.06
"P18","En blanco",0.267,0.096,0.407,0.018
"P18","No sabe",0.175,0.031,0.01,0.487
"P20","Si",0.535,0.334,0.246,0.264
"P20","No",0.465,0.666,0.754,0.736
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.615,0.061,0.179,0.097
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.186,0.236,0.507,0.467
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.165,0.636,0.135,0.203
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.012,0.047,0.065
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.031,0.018,0.13
"P11_imputada","En blanco",0.001,0.024,0.114,0.038
