"var","categoria","Unidos para Cambiar jujuy","Juntos Avancemos","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P05","Mucho",0.428,0.354,0.412,0.39,0.342,0.312,0.256
"P05","Bastante",0.35,0.373,0.366,0.362,0.442,0.153,0.383
"P05","Poco",0.153,0.193,0.149,0.248,0.112,0.299,0.266
"P05","Nada",0.055,0.064,0.063,0,0.094,0.214,0.043
"P05","No sabe",0.014,0.016,0.01,0,0.01,0.022,0.052
"P06","Siempre",0.231,0.191,0.228,0.257,0.103,0.148,0.225
"P06","Casi siempre",0.392,0.378,0.308,0.451,0.4,0.179,0.269
"P06","Casi nunca",0.231,0.324,0.351,0.261,0.353,0.49,0.37
"P06","Nunca, pero esta es una excepción",0.146,0.107,0.113,0.031,0.144,0.183,0.136
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.76,0.149,0.123,0.007,0.024,0.166,0.066
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.129,0.718,0.118,0.219,0.051,0.047,0.076
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.098,0.098,0.741,0.215,0.54,0.157,0.195
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.006,0.007,0.403,0.003,0.034,0.005
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.005,0.003,0,0.321,0.031,0.061
"P11","En blanco",0,0.013,0.006,0.056,0.061,0.504,0.053
"P11","No sabe",0.002,0.011,0.002,0.1,0,0.061,0.544
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.186,0.397,0.583,0.362,0.375,0.44,0.545
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.161,0.309,0.193,0.169,0.079,0.108,0.071
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.441,0.202,0.126,0.242,0.296,0.113,0.072
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.139,0.032,0.058,0.126,0.051,0.067,0.115
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.031,0.024,0.006,0.042,0.106,0.017,0.049
"P14","No sabe",0.042,0.036,0.034,0.059,0.093,0.255,0.148
"P15","Totalmente seguro.",0.687,0.626,0.742,0.685,0.77,0.284,0.429
"P15","Bastante seguro",0.147,0.167,0.144,0.121,0.031,0.097,0.052
"P15","Algo seguro",0.13,0.141,0.097,0.194,0.105,0.085,0.119
"P15","Para nada seguro",0.036,0.066,0.017,0,0.094,0.534,0.4
"P16","Tiene Decidido que va a ir a votar.",0.915,0.937,0.907,0.828,0.864,0.611,0.765
"P16","Tiene dudas sobre si va a ir a  votar",0.039,0.048,0.064,0.105,0.136,0.195,0.158
"P16","Tiene Decidido que no va a ir a votar",0.046,0.015,0.029,0.067,0,0.194,0.077
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.306,0.25,0.338,0.294,0.386,0.241
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.063,0.632,0.199,0.333,0.233,0,0.274
"P17","En blanco",0.033,0.017,0.326,0.074,0.301,0.518,0.07
"P17","No sabe",0.021,0.045,0.225,0.255,0.172,0.096,0.415
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.753,0.133,0.328,0.109,0.166,0.329
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.094,0.132,0.696,0.295,0.494,0.219,0.236
"P18","En blanco",0.408,0.077,0.137,0.207,0.205,0.367,0.09
"P18","No sabe",0.232,0.038,0.034,0.17,0.192,0.248,0.345
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.742,0.351,0.162,0.272,0.067,0.216,0.144
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.04,0.187,0.778,0.297,0.746,0.233,0.461
"P19","En blanco",0.172,0.311,0.045,0.149,0.025,0.536,0.105
"P19","No sabe",0.046,0.151,0.015,0.282,0.162,0.015,0.29
"P20","Si",0.48,0.366,0.403,0.437,0.322,0.165,0.247
"P20","No",0.52,0.634,0.597,0.563,0.678,0.835,0.753
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.762,0.149,0.123,0.007,0.024,0.184,0.178
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.129,0.728,0.118,0.265,0.051,0.081,0.182
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.098,0.099,0.743,0.215,0.54,0.157,0.453
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.006,0.007,0.457,0.003,0.034,0.042
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.005,0.003,0,0.321,0.031,0.085
"P11_imputada","En blanco",0,0.013,0.006,0.056,0.061,0.513,0.06
