"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Juntos Avancemos",0.259,0.212,0.307,0.179,0.239,0.288,0.478,0.234,0.286,0.248,0.166,0.205,0.496,0.518,0.102,0.233,0.279
"Unidos para Cambiar jujuy",0.209,0.218,0.199,0.141,0.249,0.224,0.215,0.208,0.175,0.268,0.577,0.423,0.118,0.051,0.038,0.207,0.21
"De los liberales libertarios",0.271,0.338,0.205,0.356,0.286,0.225,0.09,0.248,0.274,0.299,0.146,0.245,0.267,0.151,0.516,0.27,0.272
"De la Izquierda",0.047,0.035,0.059,0.02,0.052,0.07,0.057,0.058,0.049,0.028,0.007,0.075,0.007,0.126,0.015,0.057,0.039
"Hacemos por nuestro país",0.068,0.08,0.055,0.122,0.046,0.048,0.037,0.106,0.051,0.044,0.002,0.011,0.004,0.037,0.204,0.072,0.065
"En blanco",0.048,0.041,0.055,0.061,0.043,0.05,0.031,0.06,0.047,0.033,0.023,0,0.037,0.032,0.047,0.075,0.028
"No sabe",0.098,0.076,0.12,0.121,0.085,0.095,0.092,0.086,0.118,0.08,0.079,0.041,0.071,0.085,0.078,0.086,0.107
