"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Siempre",0.198,0.195,0.201,0.145,0.22,0.23,0.237,0.227,0.166,0.215,0.322,0.126,0.144,0.267,0.127,0.22,0.183
"Casi siempre",0.321,0.327,0.315,0.257,0.332,0.352,0.43,0.296,0.336,0.331,0.298,0.666,0.239,0.346,0.379,0.287,0.344
"Casi nunca",0.342,0.376,0.312,0.398,0.346,0.311,0.209,0.33,0.354,0.339,0.192,0.133,0.586,0.234,0.372,0.332,0.35
"Nunca, pero esta es una excepción",0.139,0.102,0.172,0.2,0.102,0.107,0.124,0.147,0.144,0.115,0.188,0.075,0.031,0.153,0.122,0.161,0.123
