"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.389,0.41,0.358,0.375
"P05","Bastante",0.372,0.384,0.362,0.246
"P05","Poco",0.174,0.16,0.145,0.257
"P05","Nada",0.059,0.042,0.112,0.111
"P05","No sabe",0.006,0.004,0.023,0.011
"P06","Siempre",0.26,0.226,0.102,0.131
"P06","Casi siempre",0.333,0.406,0.333,0.41
"P06","Casi nunca",0.263,0.308,0.45,0.325
"P06","Nunca, pero esta es una excepción",0.144,0.06,0.115,0.134
"P08","Unidos para Cambiar jujuy",0.468,0.047,0.049,0.034
"P08","Juntos Avancemos",0.202,0.596,0.031,0.092
"P08","De los liberales libertarios",0.149,0.169,0.541,0.411
"P08","De la Izquierda",0.036,0.051,0.023,0.085
"P08","Hacemos por nuestro país",0.055,0.062,0.156,0.099
"P08","En blanco",0.044,0,0.163,0.034
"P08","No sabe",0.046,0.075,0.037,0.245
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.56,0.039,0.04,0.025
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.139,0.643,0.119,0.099
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.203,0.232,0.639,0.479
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.017,0.012,0.084
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.018,0.023,0.122
"P11","En blanco",0.028,0.015,0.143,0.037
"P11","No sabe",0.036,0.036,0.024,0.154
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.236,0.477,0.576,0.628
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.201,0.291,0.123,0.039
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.389,0.129,0.079,0.131
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.102,0.032,0.055,0.094
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.032,0.037,0.038,0.007
"P14","No sabe",0.04,0.034,0.129,0.101
"P15","Totalmente seguro.",0.682,0.639,0.697,0.571
"P15","Bastante seguro",0.141,0.165,0.058,0.081
"P15","Algo seguro",0.108,0.13,0.086,0.184
"P15","Para nada seguro",0.069,0.066,0.159,0.164
"P16","Tiene Decidido que va a ir a votar.",0.948,0.913,0.833,0.759
"P16","Tiene dudas sobre si va a ir a  votar",0.036,0.068,0.069,0.15
"P16","Tiene Decidido que no va a ir a votar",0.016,0.019,0.098,0.091
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.343,0.654,0.05,0.079
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.171,0.325,0.599,0.424
"P18","En blanco",0.292,0.016,0.337,0.143
"P18","No sabe",0.194,0.005,0.014,0.354
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.634,0.214,0.04,0.038
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.186,0.374,0.741,0.59
"P19","En blanco",0.126,0.26,0.212,0.109
"P19","No sabe",0.054,0.152,0.007,0.263
"P20","Si",0.451,0.343,0.276,0.365
"P20","No",0.549,0.657,0.724,0.635
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.565,0.049,0.062,0.056
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.148,0.649,0.119,0.122
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.212,0.252,0.641,0.547
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.017,0.012,0.098
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.018,0.023,0.14
"P11_imputada","En blanco",0.03,0.015,0.143,0.037
