"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.421,0.346,0.366,0.207
"P05","Bastante",0.379,0.349,0.366,0.294
"P05","Poco",0.15,0.242,0.144,0.226
"P05","Nada",0.043,0.052,0.116,0.264
"P05","No sabe",0.007,0.011,0.008,0.009
"P06","Siempre",0.224,0.196,0.165,0.15
"P06","Casi siempre",0.381,0.301,0.349,0.282
"P06","Casi nunca",0.287,0.418,0.361,0.381
"P06","Nunca, pero esta es una excepción",0.108,0.085,0.125,0.187
"P08","Unidos para Cambiar jujuy",0.227,0.241,0.23,0.082
"P08","Juntos Avancemos",0.26,0.343,0.311,0.186
"P08","De los liberales libertarios",0.301,0.29,0.211,0.046
"P08","De la Izquierda",0.047,0.041,0.071,0
"P08","Hacemos por nuestro país",0.09,0.018,0.065,0.075
"P08","En blanco",0.021,0.035,0.033,0.268
"P08","No sabe",0.054,0.032,0.079,0.343
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.254,0.301,0.289,0.118
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.279,0.309,0.27,0.182
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.374,0.293,0.233,0.123
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.016,0.043,0.009
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.016,0.067,0.146
"P11","En blanco",0.022,0.041,0.032,0.206
"P11","No sabe",0.032,0.024,0.066,0.216
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.475,0.224,0.308,0.402
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.155,0.509,0.094,0.143
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.233,0.117,0.45,0.054
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.074,0.05,0.059,0.126
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.025,0.012,0.046,0.064
"P14","No sabe",0.038,0.088,0.043,0.211
"P16","Tiene Decidido que va a ir a votar.",0.963,0.804,0.721,0.658
"P16","Tiene dudas sobre si va a ir a  votar",0.031,0.168,0.088,0.242
"P16","Tiene Decidido que no va a ir a votar",0.006,0.028,0.191,0.1
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.435,0.464,0.373,0.305
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.286,0.381,0.315,0.206
"P17","En blanco",0.16,0.068,0.106,0.253
"P17","No sabe",0.119,0.087,0.206,0.236
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.318,0.5,0.411,0.396
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.354,0.259,0.255,0.182
"P18","En blanco",0.205,0.189,0.173,0.155
"P18","No sabe",0.123,0.052,0.161,0.267
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.339,0.46,0.327,0.231
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.433,0.269,0.289,0.198
"P19","En blanco",0.147,0.2,0.235,0.305
"P19","No sabe",0.081,0.071,0.149,0.266
"P20","Si",0.388,0.369,0.47,0.251
"P20","No",0.612,0.631,0.53,0.749
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.26,0.305,0.312,0.168
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.286,0.31,0.31,0.218
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.388,0.299,0.234,0.215
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.016,0.045,0.038
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.029,0.067,0.155
"P11_imputada","En blanco",0.023,0.041,0.032,0.206
