"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.359,0.304,0.412,0.286,0.337,0.36,0.59,0.338,0.379,0.351,0.283,0.247,0.548,0.61,0.176,0.348,0.367
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.315,0.365,0.266,0.377,0.326,0.293,0.176,0.29,0.295,0.382,0.129,0.174,0.192,0.254,0.648,0.32,0.311
"En blanco",0.195,0.238,0.153,0.222,0.188,0.22,0.117,0.274,0.149,0.166,0.333,0.405,0.215,0.036,0.135,0.2,0.191
"No sabe",0.131,0.093,0.169,0.115,0.149,0.127,0.117,0.098,0.177,0.101,0.255,0.174,0.045,0.1,0.041,0.132,0.131
