"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.249,0.256,0.242,0.176,0.301,0.258,0.234,0.273,0.206,0.29,0.701,0.49,0.183,0.05,0.037,0.251,0.247
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.273,0.224,0.323,0.211,0.228,0.32,0.493,0.238,0.318,0.245,0.111,0.198,0.521,0.556,0.108,0.268,0.277
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.315,0.388,0.242,0.428,0.311,0.262,0.15,0.345,0.274,0.344,0.132,0.161,0.205,0.192,0.717,0.314,0.316
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.013,0.036,0.019,0.028,0.038,0.004,0.021,0.025,0.027,0.007,0.084,0.006,0.041,0.003,0.03,0.02
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.034,0.029,0.038,0.048,0.036,0.006,0.036,0.029,0.039,0.031,0.004,0.011,0.004,0.04,0.066,0.026,0.039
"En blanco",0.041,0.047,0.034,0.056,0.037,0.029,0.035,0.031,0.06,0.021,0.007,0.012,0.027,0.056,0.048,0.052,0.032
"No sabe",0.064,0.043,0.085,0.062,0.059,0.087,0.048,0.063,0.078,0.042,0.038,0.044,0.054,0.065,0.021,0.059,0.069
