"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Si",0.383,0.369,0.396,0.362,0.395,0.423,0.326,0.379,0.352,0.439,0.508,0.336,0.364,0.325,0.384,0.389,0.377
"No",0.617,0.631,0.604,0.638,0.605,0.577,0.674,0.621,0.648,0.561,0.492,0.664,0.636,0.675,0.616,0.611,0.623
