"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.403,0.157,0.347
"P05","Bastante",0.361,0.506,0.231
"P05","Poco",0.17,0.147,0.16
"P05","Nada",0.058,0.172,0.262
"P05","No sabe",0.008,0.018,0
"P06","Siempre",0.213,0.185,0.106
"P06","Casi siempre",0.356,0.327,0.499
"P06","Casi nunca",0.326,0.324,0.147
"P06","Nunca, pero esta es una excepción",0.105,0.164,0.248
"P08","Unidos para Cambiar jujuy",0.224,0.112,0.247
"P08","Juntos Avancemos",0.287,0.173,0.101
"P08","De los liberales libertarios",0.269,0.222,0.188
"P08","De la Izquierda",0.042,0.062,0.075
"P08","Hacemos por nuestro país",0.073,0.134,0
"P08","En blanco",0.033,0.124,0.232
"P08","No sabe",0.072,0.173,0.157
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.263,0.111,0.187
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.281,0.207,0.225
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.333,0.277,0.244
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.062,0.072
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.151,0.006
"P11","En blanco",0.037,0.075,0.125
"P11","No sabe",0.043,0.117,0.141
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.423,0.348,0.424
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.196,0.173,0.061
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.235,0.106,0.295
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.066,0.161,0.098
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.028,0.049,0.02
"P14","No sabe",0.052,0.163,0.102
"P15","Totalmente seguro.",0.714,0.27,0.099
"P15","Bastante seguro",0.116,0.283,0.088
"P15","Algo seguro",0.099,0.141,0.577
"P15","Para nada seguro",0.071,0.306,0.236
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.444,0.226,0.173
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.3,0.304,0.144
"P17","En blanco",0.14,0.159,0.372
"P17","No sabe",0.116,0.311,0.311
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.372,0.295,0.155
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.314,0.314,0.338
"P18","En blanco",0.193,0.101,0.393
"P18","No sabe",0.121,0.29,0.114
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.358,0.301,0.071
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.389,0.185,0.331
"P19","En blanco",0.163,0.154,0.545
"P19","No sabe",0.09,0.36,0.053
"P20","Si",0.402,0.298,0.04
"P20","No",0.598,0.702,0.96
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.269,0.156,0.271
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.29,0.279,0.225
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.353,0.277,0.244
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.062,0.072
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.151,0.063
"P11_imputada","En blanco",0.038,0.075,0.125
