"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Totalmente seguro.",0.651,0.706,0.597,0.698,0.646,0.602,0.635,0.631,0.65,0.679,0.755,0.596,0.622,0.54,0.765,0.621,0.674
"Bastante seguro",0.132,0.117,0.146,0.109,0.138,0.172,0.097,0.133,0.13,0.133,0.131,0.118,0.195,0.177,0.079,0.173,0.099
"Algo seguro",0.122,0.105,0.139,0.125,0.103,0.144,0.144,0.14,0.121,0.1,0.091,0.222,0.108,0.179,0.06,0.11,0.132
"Para nada seguro",0.095,0.072,0.118,0.068,0.113,0.082,0.124,0.096,0.099,0.088,0.023,0.064,0.075,0.104,0.096,0.096,0.095
