"var","categoria","Si","No"
"P05","Mucho",0.464,0.323
"P05","Bastante",0.292,0.413
"P05","Poco",0.165,0.194
"P05","Nada",0.065,0.061
"P05","No sabe",0.014,0.009
"P06","Siempre",0.279,0.175
"P06","Casi siempre",0.347,0.356
"P06","Casi nunca",0.248,0.357
"P06","Nunca, pero esta es una excepción",0.126,0.112
"P08","Unidos para Cambiar jujuy",0.283,0.19
"P08","Juntos Avancemos",0.274,0.293
"P08","De los liberales libertarios",0.271,0.249
"P08","De la Izquierda",0.048,0.038
"P08","Hacemos por nuestro país",0.053,0.07
"P08","En blanco",0.02,0.063
"P08","No sabe",0.051,0.097
"P11","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.354,0.212
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.237,0.317
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.328,0.311
"P11","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.029
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.033
"P11","En blanco",0.012,0.046
"P11","No sabe",0.048,0.052
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.314,0.442
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.236,0.195
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.278,0.206
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.091,0.062
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.042,0.022
"P14","No sabe",0.039,0.073
"P15","Totalmente seguro.",0.674,0.66
"P15","Bastante seguro",0.128,0.136
"P15","Algo seguro",0.141,0.098
"P15","Para nada seguro",0.057,0.106
"P16","Tiene Decidido que va a ir a votar.",0.955,0.882
"P16","Tiene dudas sobre si va a ir a  votar",0.041,0.06
"P16","Tiene Decidido que no va a ir a votar",0.004,0.058
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.506,0.381
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.276,0.328
"P17","En blanco",0.103,0.167
"P17","No sabe",0.115,0.124
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.387,0.361
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.278,0.324
"P18","En blanco",0.192,0.218
"P18","No sabe",0.143,0.097
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.494,0.266
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.326,0.404
"P19","En blanco",0.117,0.221
"P19","No sabe",0.063,0.109
"P11_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.365,0.229
"P11_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.243,0.324
"P11_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.35,0.332
"P11_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.029
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.038
"P11_imputada","En blanco",0.012,0.048
