"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","San Salvador de Jujuy","Otra localidad"
"Tiene Decidido que va a ir a votar.",0.884,0.914,0.854,0.885,0.904,0.901,0.787,0.842,0.888,0.935,0.94,0.786,0.889,0.894,0.929,0.849,0.911
"Tiene dudas sobre si va a ir a  votar",0.076,0.061,0.091,0.076,0.061,0.068,0.137,0.089,0.083,0.045,0.043,0.103,0.053,0.07,0.049,0.088,0.066
"Tiene Decidido que no va a ir a votar",0.04,0.025,0.055,0.039,0.035,0.031,0.076,0.069,0.029,0.02,0.017,0.111,0.058,0.036,0.022,0.063,0.023
