"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco"
"P08","Totalmente seguro",0,0.038,0.035
"P08","Bastante seguro",0.298,0.025,0.005
"P08","Algo seguro",0.032,0.219,0.094
"P08","Para nada seguro",0.67,0.718,0.866
"P09","Tiene Decidido que va a ir a votar",0.503,0.324,0.758
"P09","Tiene dudas sobre si va a ir a  votar",0.418,0.038,0.125
"P09","Tiene Decidido que no va a ir a votar",0.079,0.638,0.117
"P10","Lo votaría",0.408,0.009,0.138
"P10","Puede que lo vote",0.542,0.389,0.117
"P10","Nunca lo votaría",0.009,0.586,0.245
"P10","No sabe",0.041,0.016,0.5
"P11","Lo votaría",0,0.252,0
"P11","Puede que lo vote",0.079,0.541,0.041
"P11","Nunca lo votaría",0.714,0.099,0.216
"P11","No sabe",0.207,0.108,0.743
