"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.338,0.364,0.314,0.244,0.431,0.314,0.306,0.356,0.3,0.37,0.354,0.273,0.336,0.351
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.331,0.343,0.321,0.442,0.294,0.303,0.285,0.36,0.353,0.268,0.36,0.342,0.331,0.301
"En blanco",0.167,0.16,0.173,0.166,0.09,0.243,0.234,0.138,0.178,0.184,0.168,0.201,0.267,0.135
"Aun no tengo decidido mi voto",0.164,0.133,0.192,0.148,0.185,0.14,0.175,0.146,0.169,0.178,0.118,0.184,0.066,0.213
