"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza"
"P08","Totalmente seguro",0.387,0.292
"P08","Bastante seguro",0.27,0.11
"P08","Algo seguro",0.298,0.246
"P08","Para nada seguro",0.045,0.352
"P09","Tiene Decidido que va a ir a votar",0.632,0.633
"P09","Tiene dudas sobre si va a ir a  votar",0.097,0.177
"P09","Tiene Decidido que no va a ir a votar",0.271,0.19
"P10","Lo votaría",0.007,0.006
"P10","Puede que lo vote",0.207,0.189
"P10","Nunca lo votaría",0.735,0.559
"P10","No sabe",0.051,0.246
"P11","Lo votaría",0,0.278
"P11","Puede que lo vote",0.024,0.392
"P11","Nunca lo votaría",0.931,0.194
"P11","No sabe",0.045,0.136
