"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro",0.535,0.579,0.496,0.525,0.602,0.562,0.376,0.488,0.563,0.548,0.551,0.522,0.615,0.511
"Bastante seguro",0.168,0.164,0.171,0.169,0.159,0.135,0.228,0.191,0.145,0.174,0.147,0.112,0.044,0.232
"Algo seguro",0.115,0.103,0.127,0.188,0.053,0.097,0.174,0.11,0.115,0.12,0.147,0.105,0.246,0.065
"Para nada seguro",0.182,0.154,0.206,0.118,0.186,0.206,0.222,0.211,0.177,0.158,0.155,0.261,0.095,0.192
