"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.293,0.322,0.121,0.238,0.438,0.378,0.068,0.415,0.367,0.543
"P10","Juntos por el Cambio",0.408,0.313,0.514,0.504,0.11,0.236,0.672,0.493,0.291,0.3
"P10","De los liberales libertarios",0.235,0.254,0.263,0.213,0.228,0.194,0,0,0.092,0.087
"P10","De la Izquierda",0.005,0,0.019,0.016,0.082,0.093,0,0,0.129,0.016
"P10","Hacemos por nuestro país",0.029,0,0.033,0.002,0,0.07,0,0,0.026,0
"P10","Otro",0.005,0.097,0.006,0.015,0.036,0.014,0,0,0.056,0
"P10","En blanco",0.003,0.007,0.005,0.004,0,0,0,0.092,0,0.054
"P10","No sabe",0.022,0.007,0.039,0.008,0.106,0.015,0.26,0,0.039,0
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.291,0.418,0.085,0.263,0.89,0.384,0.068,0.357,0.353,0.318
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.403,0.242,0.536,0.495,0.057,0.209,0.672,0.493,0.292,0.551
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.231,0.194,0.264,0.199,0,0.139,0,0,0.092,0.077
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.036,0,0.029,0.024,0.017,0.096,0,0.058,0.125,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.019,0.042,0.004,0,0.157,0,0,0.059,0
"P13","En blanco",0.003,0.088,0.015,0,0.036,0,0,0,0.046,0
"P13","No sabe",0.015,0.039,0.029,0.015,0,0.015,0.26,0.092,0.033,0.054
"P16","Union por la Patria",0.287,0.35,0.13,0.331,0.548,0.449,0.07,0.423,0.459,0.617
"P16","Cambiemos",0.464,0.296,0.574,0.501,0.316,0.342,0.682,0.485,0.261,0.383
"P16","Liberales",0.173,0.169,0.2,0.135,0,0.017,0,0,0.077,0
"P16","Izquierda",0.03,0.025,0.038,0.009,0,0.119,0,0,0.041,0
"P16","No sabe",0.046,0.16,0.058,0.024,0.136,0.073,0.248,0.092,0.162,0
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.296,0.243,0.166,0.151,0.773,0.47,0.193,0.423,0.483,0.599
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.454,0.244,0.547,0.538,0.091,0.326,0.559,0.369,0.24,0.341
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.149,0.32,0.192,0.246,0,0.017,0,0,0.096,0
"P17","La candidata a Jefe de Gobierno de la izquierda",0.029,0.025,0.038,0,0,0.12,0,0.116,0.019,0
"P17","En blanco",0.022,0.145,0.032,0.044,0.136,0.05,0,0.092,0.13,0
"P17","No sabe",0.05,0.023,0.025,0.021,0,0.017,0.248,0,0.032,0.06
"P26","Totalmente seguro",0.71,0.663,0.725,0.67,0.428,0.683,0.313,1,0.755,0.475
"P26","Bastante seguro",0.158,0.134,0.132,0.19,0,0.14,0.167,0,0.128,0.166
"P26","Algo seguro",0.104,0.096,0.071,0.1,0.572,0.087,0.26,0,0.061,0.305
"P26","Para nada seguro",0.028,0.107,0.072,0.04,0,0.09,0.26,0,0.056,0.054
"P27","Tiene Decidido que va a ir a votar",0.932,0.939,0.958,0.946,0.768,0.944,0.74,0.839,0.886,0.946
"P27","Tiene dudas sobre si va a ir a  votar",0.06,0.034,0.027,0.041,0.186,0.056,0.26,0.161,0.073,0.054
"P27","Tiene Decidido que no va a ir a votar",0.008,0.027,0.015,0.013,0.046,0,0,0,0.041,0
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.339,0.44,0.149,0.313,0.815,0.496,0.067,0.357,0.393,0.585
