"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda","No sabe"
"P10","Unión por la Patria",0.698,0.051,0.057,0.295,0.112
"P10","Juntos por el Cambio",0.135,0.746,0.128,0.132,0.148
"P10","De los liberales libertarios",0.097,0.137,0.754,0.15,0.123
"P10","De la Izquierda",0.049,0.018,0.04,0.395,0.02
"P10","Hacemos por nuestro país",0.011,0.028,0.013,0.019,0.096
"P10","Otro",0,0.009,0.005,0.009,0.127
"P10","En blanco",0.004,0.005,0,0,0.1
"P10","No sabe",0.006,0.006,0.003,0,0.274
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.68,0.076,0.1,0.188,0.143
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.138,0.727,0.137,0.021,0.073
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.109,0.141,0.735,0.127,0.17
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.04,0.005,0.004,0.589,0.063
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.031,0.012,0.019,0.155
"P13","En blanco",0.005,0.01,0.009,0.007,0.122
"P13","No sabe",0.015,0.01,0.003,0.049,0.274
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.7,0.077,0.139,0.133,0.189
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.152,0.818,0.126,0.043,0.085
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.106,0.07,0.657,0.068,0.01
"P17","La candidata a Jefe de Gobierno de la izquierda",0.012,0.002,0.004,0.622,0.036
"P17","En blanco",0.013,0.016,0.036,0.018,0.369
"P17","No sabe",0.017,0.017,0.038,0.116,0.311
"P26","Totalmente seguro",0.724,0.705,0.742,0.631,0.242
"P26","Bastante seguro",0.104,0.159,0.17,0.136,0.171
"P26","Algo seguro",0.11,0.096,0.065,0.166,0.163
"P26","Para nada seguro",0.062,0.04,0.023,0.067,0.424
"P27","Tiene Decidido que va a ir a votar",0.947,0.935,0.923,0.968,0.674
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.05,0.072,0.011,0.251
"P27","Tiene Decidido que no va a ir a votar",0.021,0.015,0.005,0.021,0.075
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.812,0.089,0.133,0.421,0.274
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.093,0.827,0.27,0.232,0.229
"P28","En blanco",0.049,0.036,0.433,0.098,0.121
"P28","No sabe",0.046,0.048,0.164,0.249,0.376
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.368,0.726,0.146,0.466,0.263
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.108,0.22,0.771,0.165,0.196
"P29","En blanco",0.332,0.03,0.074,0.283,0.216
"P29","No sabe",0.192,0.024,0.009,0.086,0.325
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.834,0.131,0.093,0.513,0.189
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.371,0.756,0.251,0.263
"P30","En blanco",0.057,0.337,0.108,0.209,0.23
"P30","No sabe",0.039,0.161,0.043,0.027,0.318
"P38","Inflación",0.389,0.373,0.418,0.335,0.266
"P38","Desempleo",0.087,0.044,0.075,0.05,0.17
"P38","Corrupción",0.139,0.363,0.38,0.334,0.261
"P38","Inseguridad",0.126,0.114,0.092,0.028,0.039
"P38","Precio del dólar",0.037,0.013,0,0,0.039
"P38","Pobreza",0.083,0.037,0.006,0.181,0.057
"P38","Narcotráfico",0.001,0.006,0,0,0.015
"P38","Tarifas",0.007,0.005,0,0,0.007
"P38","Otro",0.097,0.033,0.029,0.072,0.146
"P38","No sabe",0.034,0.012,0,0,0
