"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.677,0.038,0.099,0.064
"P10","Juntos por el Cambio",0.131,0.744,0.065,0.122
"P10","De los liberales libertarios",0.081,0.17,0.716,0.402
"P10","De la Izquierda",0.043,0.007,0.076,0.11
"P10","Hacemos por nuestro país",0.031,0.02,0.021,0.094
"P10","Otro",0.007,0.006,0.007,0.088
"P10","En blanco",0.002,0.005,0.007,0.017
"P10","No sabe",0.028,0.01,0.009,0.103
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.693,0.052,0.047,0.066
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.105,0.725,0.107,0.162
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.082,0.168,0.702,0.371
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.055,0.009,0.027,0.157
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.036,0.058,0.034
"P13","En blanco",0.013,0.003,0.05,0.043
"P13","No sabe",0.028,0.007,0.009,0.167
"P16","Union por la Patria",0.693,0.052,0.115,0.128
"P16","Cambiemos",0.132,0.806,0.146,0.236
"P16","Liberales",0.071,0.094,0.638,0.286
"P16","Izquierda",0.045,0.016,0.029,0.087
"P16","No sabe",0.059,0.032,0.072,0.263
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.656,0.07,0.118,0.223
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.145,0.754,0.122,0.232
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.094,0.105,0.631,0.261
"P17","La candidata a Jefe de Gobierno de la izquierda",0.047,0.016,0.019,0.068
"P17","En blanco",0.031,0.029,0.066,0.088
"P17","No sabe",0.027,0.026,0.044,0.128
"P26","Totalmente seguro",0.706,0.72,0.653,0.475
"P26","Bastante seguro",0.111,0.161,0.161,0.184
"P26","Algo seguro",0.129,0.087,0.144,0.125
"P26","Para nada seguro",0.054,0.032,0.042,0.216
"P27","Tiene Decidido que va a ir a votar",0.943,0.93,0.851,0.827
"P27","Tiene dudas sobre si va a ir a  votar",0.041,0.055,0.118,0.147
"P27","Tiene Decidido que no va a ir a votar",0.016,0.015,0.031,0.026
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.403,0.697,0.072,0.258
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.087,0.278,0.7,0.403
"P29","En blanco",0.337,0.013,0.214,0.049
"P29","No sabe",0.173,0.012,0.014,0.29
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.822,0.102,0.035,0.138
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.415,0.69,0.488
"P30","En blanco",0.062,0.331,0.22,0.154
"P30","No sabe",0.051,0.152,0.055,0.22
"P38","Inflación",0.406,0.377,0.293,0.315
"P38","Desempleo",0.097,0.044,0.07,0.097
"P38","Corrupción",0.145,0.36,0.404,0.377
"P38","Inseguridad",0.11,0.123,0.044,0.109
"P38","Precio del dólar",0.048,0.006,0.006,0
"P38","Pobreza",0.09,0.033,0.093,0.02
"P38","Narcotráfico",0.001,0.007,0,0
"P38","Tarifas",0.005,0.004,0,0.007
"P38","Otro",0.069,0.035,0.09,0.067
"P38","No sabe",0.029,0.011,0,0.008
"P10_imputada","Unión por la Patria",0.691,0.04,0.103,0.095
"P10_imputada","Juntos por el Cambio",0.135,0.751,0.071,0.168
"P10_imputada","De los liberales libertarios",0.086,0.17,0.715,0.411
"P10_imputada","De la Izquierda",0.048,0.008,0.076,0.118
"P10_imputada","Hacemos por nuestro país",0.031,0.02,0.021,0.094
"P10_imputada","Otro",0.007,0.006,0.007,0.091
"P10_imputada","En blanco",0.002,0.005,0.007,0.023
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.702,0.055,0.05,0.124
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.114,0.726,0.107,0.205
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.086,0.169,0.705,0.418
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.055,0.009,0.027,0.171
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.038,0.061,0.034
"P13_imputada","En blanco",0.015,0.003,0.05,0.048
"P16_imputada","Union por la Patria",0.708,0.063,0.15,0.202
"P16_imputada","Cambiemos",0.163,0.823,0.173,0.339
"P16_imputada","Liberales",0.078,0.098,0.648,0.362
"P16_imputada","Izquierda",0.051,0.016,0.029,0.097
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.671,0.073,0.127,0.272
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.145,0.768,0.122,0.28
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.094,0.106,0.663,0.276
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.05,0.016,0.019,0.078
"P17_imputada","En blanco",0.04,0.037,0.069,0.094
