"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","Los candidatos a Jefe de Gobierno de la izquierda","En blanco"
"P26","Totalmente seguro",0.645,0.711,0.715,0.551,0.535
"P26","Bastante seguro",0.153,0.144,0.155,0.14,0.105
"P26","Algo seguro",0.108,0.093,0.093,0.167,0.133
"P26","Para nada seguro",0.094,0.052,0.037,0.142,0.227
"P27","Tiene Decidido que va a ir a votar",0.9,0.941,0.935,0.94,0.737
"P27","Tiene dudas sobre si va a ir a  votar",0.078,0.044,0.057,0.06,0.163
"P27","Tiene Decidido que no va a ir a votar",0.022,0.015,0.008,0,0.1
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.736,0.1,0.161,0.474,0.267
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.122,0.81,0.279,0.233,0.374
"P28","En blanco",0.051,0.031,0.414,0.066,0.167
"P28","No sabe",0.091,0.059,0.146,0.227,0.192
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.339,0.751,0.164,0.516,0.233
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.129,0.177,0.762,0.111,0.354
"P29","En blanco",0.335,0.035,0.057,0.262,0.215
"P29","No sabe",0.197,0.037,0.017,0.111,0.198
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.708,0.161,0.148,0.51,0.191
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.116,0.354,0.716,0.253,0.286
"P30","En blanco",0.095,0.328,0.075,0.208,0.342
"P30","No sabe",0.081,0.157,0.061,0.029,0.181
"P38","Inflación",0.413,0.383,0.343,0.336,0.257
"P38","Desempleo",0.061,0.039,0.131,0.052,0.189
"P38","Corrupción",0.186,0.358,0.335,0.372,0.176
"P38","Inseguridad",0.059,0.127,0.153,0,0.089
"P38","Precio del dólar",0.05,0.004,0,0,0.048
"P38","Pobreza",0.084,0.036,0.005,0.189,0.064
"P38","Narcotráfico",0.003,0.007,0,0,0
"P38","Tarifas",0.007,0.004,0,0.017,0.008
"P38","Otro",0.105,0.031,0.033,0.034,0.152
"P38","No sabe",0.032,0.011,0,0,0.017
