"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.238,0.21,0.262,0.228,0.306,0.217,0.155,0.252,0.201,0.261,0.66,0.082,0.168,0.71,0.631,0.035,0.171,0.074
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.389,0.343,0.427,0.168,0.323,0.548,0.599,0.267,0.385,0.435,0.107,0.602,0.248,0.108,0.141,0.852,0.487,0.056
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.238,0.325,0.166,0.449,0.232,0.132,0.109,0.259,0.284,0.196,0.133,0.239,0.326,0.117,0.107,0.063,0.162,0.823
"Los candidatos a presidente y vicepresidente de la izquierda",0.043,0.044,0.043,0.06,0.048,0.032,0.028,0.053,0.04,0.043,0.037,0.011,0.028,0.023,0.047,0.018,0.032,0.005
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.038,0.033,0.042,0.048,0.041,0.025,0.036,0.057,0.038,0.031,0.017,0.028,0.163,0.024,0.046,0.007,0.075,0.016
"En blanco",0.018,0.013,0.022,0.025,0.012,0.018,0.019,0.037,0.021,0.009,0.016,0.012,0.015,0.014,0.012,0.003,0.014,0.007
"No sabe",0.036,0.032,0.038,0.022,0.038,0.028,0.054,0.075,0.031,0.025,0.03,0.026,0.052,0.004,0.016,0.022,0.059,0.019
