"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.643,0.048,0.069,0.096
"P10","Juntos por el Cambio",0.2,0.381,0.678,0.619
"P10","De los liberales libertarios",0.079,0.497,0.122,0.069
"P10","De la Izquierda",0.044,0.006,0.041,0.033
"P10","Hacemos por nuestro país",0.015,0.04,0.034,0.02
"P10","Otro",0.007,0.015,0.011,0.049
"P10","En blanco",0.002,0.001,0.018,0.006
"P10","No sabe",0.01,0.012,0.027,0.108
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.636,0.045,0.078,0.136
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.211,0.345,0.703,0.616
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.528,0.052,0.046
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.067,0.026,0.038,0.014
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.038,0.073,0.031
"P13","En blanco",0.007,0.008,0.026,0.051
"P13","No sabe",0.012,0.01,0.03,0.106
"P16","Union por la Patria",0.678,0.056,0.073,0.091
"P16","Cambiemos",0.183,0.505,0.736,0.652
"P16","Liberales",0.045,0.361,0.083,0.061
"P16","Izquierda",0.056,0.026,0.035,0.009
"P16","No sabe",0.038,0.052,0.073,0.187
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.61,0.08,0.128,0.186
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.216,0.46,0.669,0.588
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.076,0.362,0.062,0.092
"P17","La candidata a Jefe de Gobierno de la izquierda",0.051,0.026,0.034,0.009
"P17","En blanco",0.025,0.043,0.06,0.063
"P17","No sabe",0.022,0.029,0.047,0.062
"P26","Totalmente seguro",0.712,0.691,0.724,0.605
"P26","Bastante seguro",0.126,0.187,0.128,0.14
"P26","Algo seguro",0.127,0.093,0.098,0.102
"P26","Para nada seguro",0.035,0.029,0.05,0.153
"P27","Tiene Decidido que va a ir a votar",0.95,0.927,0.915,0.882
"P27","Tiene dudas sobre si va a ir a  votar",0.039,0.053,0.066,0.107
"P27","Tiene Decidido que no va a ir a votar",0.011,0.02,0.019,0.011
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.798,0.059,0.089,0.139
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.151,0.58,0.731,0.631
"P28","En blanco",0.012,0.23,0.115,0.055
"P28","No sabe",0.039,0.131,0.065,0.175
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.515,0.346,0.676,0.571
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.045,0.621,0.144,0.132
"P29","En blanco",0.294,0.014,0.175,0.017
"P29","No sabe",0.146,0.019,0.005,0.28
"P38","Inflación",0.397,0.431,0.318,0.21
"P38","Desempleo",0.1,0.061,0.032,0.068
"P38","Corrupción",0.135,0.353,0.412,0.41
"P38","Inseguridad",0.13,0.096,0.073,0.159
"P38","Precio del dólar",0.044,0,0.015,0
"P38","Pobreza",0.09,0.022,0.064,0.044
"P38","Narcotráfico",0,0.003,0.002,0.021
"P38","Tarifas",0.005,0,0.006,0.012
"P38","Otro",0.073,0.027,0.064,0.065
"P38","No sabe",0.026,0.007,0.014,0.011
"P10_imputada","Unión por la Patria",0.649,0.05,0.079,0.142
"P10_imputada","Juntos por el Cambio",0.204,0.383,0.695,0.656
"P10_imputada","De los liberales libertarios",0.079,0.497,0.122,0.081
"P10_imputada","De la Izquierda",0.044,0.011,0.041,0.046
"P10_imputada","Hacemos por nuestro país",0.015,0.04,0.034,0.02
"P10_imputada","Otro",0.007,0.016,0.011,0.049
"P10_imputada","En blanco",0.002,0.003,0.018,0.006
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.643,0.046,0.087,0.18
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.211,0.348,0.715,0.648
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.531,0.054,0.064
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.067,0.026,0.041,0.02
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.039,0.077,0.031
"P13_imputada","En blanco",0.007,0.01,0.026,0.057
"P16_imputada","Union por la Patria",0.694,0.066,0.088,0.165
"P16_imputada","Cambiemos",0.195,0.526,0.78,0.737
"P16_imputada","Liberales",0.048,0.382,0.096,0.081
"P16_imputada","Izquierda",0.063,0.026,0.036,0.017
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.621,0.099,0.13,0.205
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.218,0.466,0.692,0.613
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.078,0.366,0.062,0.092
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.054,0.026,0.034,0.009
"P17_imputada","En blanco",0.029,0.043,0.082,0.081
