"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.68,0.718,0.673,0.581,0.429,0.48
"P26","Bastante seguro",0.125,0.133,0.171,0.197,0.186,0.121
"P26","Algo seguro",0.112,0.102,0.088,0.183,0.158,0.166
"P26","Para nada seguro",0.083,0.047,0.068,0.039,0.227,0.233
"P27","Tiene Decidido que va a ir a votar",0.909,0.934,0.92,0.89,0.749,0.718
"P27","Tiene dudas sobre si va a ir a  votar",0.071,0.054,0.07,0.067,0.131,0.113
"P27","Tiene Decidido que no va a ir a votar",0.02,0.012,0.01,0.043,0.12,0.169
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.827,0.083,0.112,0.41,0.231,0.274
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.103,0.838,0.348,0.103,0.485,0.078
"P28","En blanco",0.023,0.031,0.364,0.08,0.196,0.363
"P28","No sabe",0.047,0.048,0.176,0.407,0.088,0.285
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.32,0.821,0.103,0.438,0.513,0.371
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.093,0.128,0.836,0.096,0.147,0.162
"P29","En blanco",0.374,0.02,0.03,0.343,0.29,0.161
"P29","No sabe",0.213,0.031,0.031,0.123,0.05,0.306
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.789,0.164,0.079,0.517,0.156,0.128
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.06,0.286,0.833,0.214,0.335,0.186
"P30","En blanco",0.072,0.371,0.054,0.214,0.419,0.314
"P30","No sabe",0.079,0.179,0.034,0.055,0.09,0.372
"P38","Inflación",0.415,0.352,0.402,0.381,0.215,0.074
"P38","Desempleo",0.112,0.039,0.062,0,0.08,0.386
"P38","Corrupción",0.111,0.38,0.372,0.227,0.375,0.282
"P38","Inseguridad",0.111,0.129,0.1,0.066,0.011,0
"P38","Precio del dólar",0.061,0.002,0,0.008,0,0.042
"P38","Pobreza",0.081,0.027,0.036,0.137,0.234,0.054
"P38","Narcotráfico",0.001,0.008,0,0,0,0
"P38","Tarifas",0.006,0.006,0,0.007,0,0
"P38","Otro",0.08,0.037,0.023,0.174,0.085,0.162
"P38","No sabe",0.022,0.02,0.005,0,0,0
