"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.659,0.731,0.676,0.676,0.304,0.432,0.393
"P26","Bastante seguro",0.14,0.138,0.155,0.111,0.335,0.072,0
"P26","Algo seguro",0.115,0.088,0.115,0.116,0.221,0.189,0.071
"P26","Para nada seguro",0.086,0.043,0.054,0.097,0.14,0.307,0.536
"P27","Tiene Decidido que va a ir a votar",0.913,0.93,0.921,0.822,0.874,0.718,0.727
"P27","Tiene dudas sobre si va a ir a  votar",0.055,0.06,0.06,0.128,0.126,0.127,0.235
"P27","Tiene Decidido que no va a ir a votar",0.032,0.01,0.019,0.05,0,0.155,0.038
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.838,0.096,0.111,0.372,0.309,0.145,0.111
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.076,0.845,0.349,0.101,0.308,0.203,0.392
"P28","En blanco",0.049,0.02,0.368,0.232,0.083,0.058,0.129
"P28","No sabe",0.037,0.039,0.172,0.295,0.3,0.594,0.368
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.325,0.806,0.155,0.298,0.472,0.245,0.161
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.1,0.137,0.755,0.14,0.381,0.247,0.324
"P29","En blanco",0.373,0.026,0.062,0.334,0.097,0.146,0.373
"P29","No sabe",0.202,0.031,0.028,0.228,0.05,0.362,0.142
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.807,0.155,0.111,0.439,0.168,0.147,0.12
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.31,0.735,0.12,0.488,0.339,0.179
"P30","En blanco",0.065,0.356,0.114,0.276,0.264,0.153,0.595
"P30","No sabe",0.063,0.179,0.04,0.165,0.08,0.361,0.106
"P38","Inflación",0.419,0.364,0.383,0.074,0.407,0.112,0.219
"P38","Desempleo",0.084,0.049,0.076,0,0,0.422,0.086
"P38","Corrupción",0.155,0.364,0.346,0.32,0.382,0.105,0.412
"P38","Inseguridad",0.102,0.127,0.102,0.062,0.01,0.097,0.069
"P38","Precio del dólar",0.037,0.005,0.018,0.054,0,0.038,0
"P38","Pobreza",0.08,0.032,0.047,0.189,0.148,0.045,0
"P38","Narcotráfico",0.001,0.006,0,0.036,0,0,0
"P38","Tarifas",0.007,0.005,0,0,0,0,0.071
"P38","Otro",0.083,0.037,0.022,0.256,0.053,0.181,0
"P38","No sabe",0.032,0.011,0.006,0.009,0,0,0.143
