"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Comodoro Rivadavia/Rada Tilly/Sarmiento","Trelew/Rawson/Valle inferior Rio Chubut","Puerto Madryn","Esquel/Trevelin/Alto Rio Senguer/Región Andina","Arcioni","Linares","Menna","Sáez","NA"
"A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut",0.347,0.353,0.341,0.363,0.365,0.334,0.268,0.298,0.387,0.335,0.395,0.288,0.362,0.334,0.222,0.386,0.679,0.142,0.132
"A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio",0.349,0.339,0.359,0.286,0.292,0.446,0.526,0.31,0.359,0.381,0.3,0.4,0.326,0.429,0.208,0.358,0.153,0.728,0.212
"A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense",0.146,0.175,0.115,0.15,0.178,0.109,0.084,0.176,0.135,0.127,0.133,0.202,0.108,0.085,0.255,0.165,0.094,0.081,0.078
"A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad",0.072,0.046,0.099,0.091,0.086,0.039,0.04,0.067,0.065,0.093,0.069,0.046,0.133,0.061,0.113,0.041,0.053,0.019,0.369
"A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN",0.031,0.031,0.032,0.058,0.02,0.015,0.037,0.064,0.016,0.016,0.042,0.011,0.023,0.062,0.011,0.016,0.01,0.003,0.067
"En blanco",0.055,0.056,0.054,0.052,0.059,0.057,0.045,0.085,0.038,0.048,0.061,0.053,0.048,0.029,0.191,0.034,0.011,0.027,0.142
