"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Comodoro Rivadavia/Rada Tilly/Sarmiento","Trelew/Rawson/Valle inferior Rio Chubut","Puerto Madryn","Esquel/Trevelin/Alto Rio Senguer/Región Andina","Arcioni","Linares","Menna","Sáez","NA"
"A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut",0.311,0.323,0.299,0.326,0.33,0.298,0.235,0.264,0.346,0.308,0.36,0.268,0.312,0.269,0.222,0.366,0.632,0.132,0.11
"A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio",0.316,0.315,0.318,0.257,0.261,0.412,0.485,0.285,0.316,0.359,0.26,0.354,0.317,0.42,0.197,0.342,0.142,0.666,0.212
"A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense",0.138,0.171,0.102,0.144,0.169,0.099,0.076,0.173,0.129,0.106,0.128,0.189,0.101,0.085,0.169,0.16,0.089,0.079,0.061
"A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad",0.067,0.042,0.092,0.079,0.081,0.039,0.031,0.064,0.063,0.077,0.065,0.034,0.129,0.061,0.113,0.041,0.051,0.019,0.341
"A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN",0.026,0.022,0.03,0.041,0.021,0.011,0.037,0.049,0.015,0.016,0.028,0.011,0.023,0.062,0.011,0.013,0.01,0.003,0.067
"En blanco",0.042,0.044,0.041,0.034,0.043,0.055,0.037,0.07,0.026,0.037,0.047,0.046,0.046,0,0.144,0.033,0.011,0.023,0.091
"No sabe",0.1,0.083,0.118,0.119,0.095,0.086,0.099,0.095,0.105,0.097,0.112,0.098,0.072,0.103,0.144,0.045,0.065,0.078,0.118
